x	y	n	rho	p
DM1_use	cytolytic	175	0.08312583967756383	0.2741019747981654
nonsilent_mut	cytolytic	65	-0.3679992606344693	0.0025618484751065568
n_binding_pMHC_log1p	cytolytic	157	-0.34914980152744135	7.4037128735538574e-06
