metric	n	spearman_rho	spearman_p	pearson_r	pearson_p
n_binding_pMHC_log1p	482	0.15681967709825442	0.0005495584248614052	0.15414865437732916	0.0006843160350257989
n_binding_expr_pMHC_log1p	482	0.14129284417058138	0.0018735801852456408	0.14265992375282865	0.00168965365711381
n_immunogenic_mut_log1p	482	0.14852383497454066	0.0010737407405602942	0.15633156341152576	0.0005721789447291779
total_neoantigen_log1p	505	0.15733111565827207	0.0003867824870406571	0.15012779438441282	0.000712968789972893
