quadrant	n	median_DM1	median_TMB	median_neo	median_cyt	median_HLA1	median_HLA2	pct_BRAF	pct_TripleNeg
Cold_HLAlo_NEOlo	36	-0.993	6.5	6.0	1.358	-0.62	-0.962	0.0	88.889
Hot_HLAhi_NEOhi	30	-0.527	9.0	17.0	2.916	0.398	0.615	0.0	100.0
Mismatch_HLAhi_NEOlo	48	-0.758	4.0	4.0	3.375	0.611	0.82	2.083	93.75
Mismatch_HLAlo_NEOhi	43	-0.855	8.0	22.0	1.254	-0.658	-0.863	2.326	88.372
