tertile	n	median_efficiency	iqr_25	iqr_75
Low	156	-0.1176189499329037	-0.21480290761934392	0.016098148893879824
Mid	166	-0.005401106970446235	-0.10683559941197605	0.12373397794293048
High	160	0.03062550138010709	-0.05524509890962629	0.14817645452376865
