gene	BRAF-like	RAS-like	dark-matter	WT-like
DIO1	0.4909	0.5106	0.5753	0.4073
FOXE1	0.0607	0.1053	0.1155	0.0584
NKX2-1	0.0198	0.0938	0.0873	0.0196
PAX8	0.0483	0.0898	0.0989	0.0444
SLC5A5	0.5679	0.5903	0.5835	0.5867
TG	0.6531	0.6355	0.6878	0.502
TPO	0.8761	0.7669	0.8712	0.5468
TSHR	0.0945	0.2073	0.2248	0.075
mean_8g_beta	0.3514	0.3749	0.4055	0.28
