author_celltype	mean	median	std	count
Epithelial cell	1.4027599101258237	1.3597174286842346	0.9106896447861674	706
Malignant cell	-0.06772089011076109	-0.04362664744257927	0.49784062485010006	14624
B cell				0
Endothelial cell				0
Fibroblast				0
Myeloid cell				0
NK cell				0
T cell				0
