generation	best_fitness	mean_fitness	n	positives	positive_rate	AUPRC	AUROC	top5_hits	top5_precision	top10_hits	top10_precision	top24_hits	top24_precision	rank_sum	sparsity	fitness
0	0.6348944718036842	0.5634463125567108	25	9	0.36	0.6110537782364408	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8141941829411525	0.6348944718036842
1	0.6348944718036842	0.5843873407629686	25	9	0.36	0.6110537782364408	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8141941829411525	0.6348944718036842
2	0.6348944718036842	0.5985436223686004	25	9	0.36	0.6110537782364408	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8141941829411525	0.6348944718036842
3	0.6378689368424507	0.6137318917700741	25	9	0.36	0.6110537782364408	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8649702521955848	0.6378689368424507
4	0.6409302227250906	0.6156956188987107	25	9	0.36	0.6161042832869459	0.6875	4	0.8	5	0.5	9	0.375	139.0	0.8633284748914669	0.6409302227250906
5	0.6464220843117797	0.6205698108260947	25	9	0.36	0.6448372615039282	0.6666666666666666	4	0.8	5	0.5	9	0.375	139.0	0.8094827924122601	0.6464220843117797
6	0.6464220843117797	0.6241704636405881	25	9	0.36	0.6448372615039282	0.6666666666666666	4	0.8	5	0.5	9	0.375	139.0	0.8094827924122601	0.6464220843117797
7	0.6464220843117797	0.6249380335669293	25	9	0.36	0.6448372615039282	0.6666666666666666	4	0.8	5	0.5	9	0.375	139.0	0.8094827924122601	0.6464220843117797
8	0.6503118175732395	0.6276006628944665	25	9	0.36	0.6493409449549801	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8082855030987137	0.6503118175732395
9	0.6503118175732395	0.629022755540965	25	9	0.36	0.6493409449549801	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8082855030987137	0.6503118175732395
10	0.6503118175732395	0.6343620227208474	25	9	0.36	0.6493409449549801	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8082855030987137	0.6503118175732395
11	0.6503118175732395	0.6339791572282037	25	9	0.36	0.6493409449549801	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8082855030987137	0.6503118175732395
12	0.6524649154543134	0.6372259765981328	25	9	0.36	0.6493409449549801	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8529358648639374	0.6524649154543134
13	0.6524649154543134	0.6364265414190332	25	9	0.36	0.6493409449549801	0.6805555555555556	4	0.8	5	0.5	9	0.375	139.0	0.8529358648639374	0.6524649154543134
