generation	pulls_reweight	pulls_transform	pulls_gate	pulls_vote	pulls_sparsity	reward_reweight	reward_transform	reward_gate	reward_vote	reward_sparsity
0	19	16	21	16	16	0.06125914470481575	0.0009824556913509142	0.06624664167230743	0.06648239979089487	0.07292821527084492
1	29	34	43	35	35	0.08868971814498261	0.034115082498648364	0.06757895293566862	0.11418483601745821	0.07768213475396557
2	43	50	67	55	49	0.09786952558335493	0.05743540931309965	0.11614033926530476	0.14120760767270468	0.10728489570493138
3	63	68	87	68	66	0.1272575808155607	0.06129750243713927	0.12439178275120666	0.1449734933639324	0.11649563601318003
4	82	83	105	87	83	0.13720659673668534	0.06267750967132801	0.13245416969687096	0.16903447465168064	0.12078457869129533
5	106	100	107	109	106	0.14052565382967686	0.07744216681174532	0.13385661463223442	0.18058848760317103	0.1369503350363127
6	124	118	123	128	123	0.14322276075126372	0.0814189411575339	0.13750345610668935	0.18968965321388642	0.13954853247767762
7	141	135	141	146	141	0.14545061969057171	0.08587571421180662	0.14287158261968225	0.19497345212888273	0.14066577859714946
8	159	152	159	164	158	0.1582357080879877	0.09278747656418418	0.1518082777213593	0.20383893815356224	0.14253432530419852
9	178	170	175	182	175	0.17655507136840232	0.1037338225535015	0.1518082777213593	0.20958227408632202	0.14424231205202653
10	196	187	193	200	192	0.18220259205031175	0.1038315039015878	0.15481421535243034	0.20980403738631892	0.14526145720625072
11	213	205	211	217	210	0.183634444083832	0.11348324690544243	0.1599120777553994	0.2115318164577088	0.1574030270495892
12	231	222	228	235	228	0.18650038086402665	0.11593723133741018	0.16213933144322068	0.21773990275544963	0.1629437350002816
13	248	241	245	253	245	0.18650038086402665	0.13423407565612555	0.16965767703833234	0.22443053802662005	0.16343512439263674
14	265	259	264	270	262	0.19121522875882246	0.1446363181523317	0.1778902117344271	0.2277667836202233	0.1711245645698748
15	283	276	280	287	282	0.19346849432309332	0.14749045942261607	0.17828946195849105	0.2277667836202233	0.187962078530009
16	300	293	298	305	300	0.19449561824651884	0.1474946059296568	0.1790257201079284	0.23058109088224477	0.19461012439165948
17	317	311	315	323	318	0.19449561824651884	0.14831822558910723	0.1791406400086637	0.23058109088224477	0.19792802033244183
18	335	328	333	340	336	0.20016033062688565	0.15013137815214794	0.17918626658937475	0.23065932830320712	0.19947265942969505
19	353	346	350	357	354	0.20031761257422986	0.15020343997596652	0.18276617941310636	0.23084219423030328	0.20092767958148627
20	370	363	368	376	371	0.20070443822186423	0.15437944380729685	0.1894882619796705	0.2369502720027129	0.20462133334695465
21	388	380	386	393	389	0.20149367320670752	0.15450396013185264	0.19356420824700693	0.23752280356681787	0.2087067544496337
22	405	397	404	412	406	0.20149367320670752	0.15469169849715358	0.19363642416226512	0.2376503868168035	0.21011743982372033
23	423	415	421	429	424	0.20156292862550196	0.1547540763155978	0.19376095819166017	0.2380254828545787	0.21224417948886987
24	440	432	440	446	442	0.20550923927825449	0.15483144467284182	0.1941655143339821	0.2380254828545787	0.21405989044844786
25	458	449	456	465	460	0.2056952317942895	0.1572066296990564	0.1947301619441807	0.2421140636652589	0.21423692411563788
26	475	467	474	482	478	0.2057943316792641	0.16139217056587885	0.1950251029436939	0.24247877963122944	0.2196785516399875
27	493	485	491	499	496	0.20769215815621989	0.1614018943919061	0.1970627927264873	0.24247877963122944	0.22197510094483208
28	511	502	509	517	513	0.2078114354107874	0.1615506584147388	0.19900893939762287	0.24473051057523465	0.221991189927204
29	529	519	526	535	531	0.21311329421795644	0.1615506584147388	0.20096133367599966	0.24492147297383582	0.22510491845231517
30	546	537	544	552	549	0.21773223904845185	0.1615758251146321	0.20127983740244837	0.24530794758130292	0.23086389680415176
31	565	553	561	570	567	0.21805537779478545	0.16192984162917634	0.20165678830184053	0.2476129659372973	0.23118417602228702
32	582	571	579	588	584	0.2182746173657809	0.16192984162917634	0.20661290628262508	0.24781287721692813	0.23134510223330096
33	601	589	597	604	601	0.22882408154227551	0.16405237673968276	0.20887233213737544	0.24781287721692813	0.23144990728119297
34	619	605	615	623	618	0.22882408154227551	0.16405237673968276	0.20952182754553006	0.25178255114187487	0.23167313272583856
35	636	622	633	640	637	0.22934611095871726	0.1656790415353271	0.21724442405907918	0.25178255114187487	0.23687895846114904
36	653	640	651	658	654	0.23178516888078782	0.1656790415353271	0.2204249059667278	0.2538962412381891	0.23687895846114904
37	670	656	671	676	671	0.23196384783342938	0.16809328660167366	0.23661997073048968	0.2609774222709841	0.23723146787396443
38	687	673	689	693	690	0.23200289425700127	0.16829217663975105	0.23994209633162056	0.2630843598014465	0.24179446263504156
39	705	690	707	711	707	0.2373264460019301	0.16829217663975105	0.24361446641360607	0.2630843598014465	0.24583421123160398
40	722	707	725	728	726	0.2378775683026504	0.16894653727712805	0.2515191356127009	0.2630843598014465	0.25555895182937416
41	740	725	742	746	743	0.24176636541208585	0.1714213053753818	0.2518779123660929	0.26688637273123195	0.25555895182937416
42	758	742	760	763	761	0.2423946576386664	0.1717281090068059	0.25529591588675704	0.2671711861220991	0.2560553897978395
43	775	759	778	781	779	0.24240474698109593	0.17176524061629994	0.2554799707495413	0.2671711861220991	0.25630708695167537
44	793	776	796	799	796	0.24240474698109593	0.17176524061629994	0.25551580542906605	0.2672925826972351	0.2566440008318299
45	811	794	813	816	814	0.24255284388986853	0.1717798012373134	0.2555425519380191	0.26730221014969835	0.25794718227382074
46	828	811	831	834	832	0.24255284388986853	0.17181428461538462	0.25561347271167967	0.26768866994758145	0.2603383234522605
