tss_held_out	n_test	n_pos	n_ras_test	n_ras_pos_test	tss_holdout_auc	seconds
BJ	13	3	1	0	0.9333333333333333	16.7
CE	5	5	0	0		16.9
DE	3	1	1	0	1.0	18.0
DJ	7	6	2	2	0.6666666666666666	18.7
EL	4	4	0	0		18.1
EM	13	2	10	0	0.9545454545454545	18.0
ET	4	2	0	0	0.5	19.3
FK	3	2	1	1	1.0	18.3
FY	3	0	1	0		17.6
H2	1	1	0	0		17.4
J8	1	1	0	0		17.9
KS	2	2	0	0		17.0
