tss	BRAF_like	RAS_like	unknown	ALL
BJ	10	1	2	13
CE	5	0	0	5
DE	2	1	0	3
DJ	5	2	0	7
EL	4	0	0	4
EM	3	10	0	13
ET	4	0	0	4
FK	2	1	0	3
FY	2	1	0	3
H2	1	0	0	1
J8	1	0	0	1
KS	2	0	0	2
ALL	41	16	2	59
