group	label	n	min_prob_DM1	max_prob_DM1	mean_prob_DM1	median_prob_DM1
molecular_subtype=RAS_like	DM1	3	0.548888087272644	0.8336060643196106	0.7299074133237203	0.8072280883789062
molecular_subtype=RAS_like	DM2	13	0.0003945496864616	0.5317865014076233	0.12937502914932195	0.0966264680027961
molecular_subtype=BRAF_like	DM1	26	0.0838210731744766	0.974694550037384	0.5379566392646387	0.5248762965202332
molecular_subtype=BRAF_like	DM2	15	0.0108264787122607	0.9385542273521424	0.4174900772050023	0.4367944598197937
histology_subtype=FVPTC	DM1	3	0.548888087272644	0.8336060643196106	0.7299074133237203	0.8072280883789062
histology_subtype=FVPTC	DM2	13	0.0003945496864616	0.5317865014076233	0.12937502914932195	0.0966264680027961
histology_subtype=cPTC	DM1	26	0.0838210731744766	0.974694550037384	0.5379566392646387	0.5248762965202332
histology_subtype=cPTC	DM2	15	0.0108264787122607	0.9385542273521424	0.4174900772050023	0.4367944598197937
