cancer	classifier	auc_pre	auc_post	auc_flip_pre	auc_flip_post	dial	interpretation	batch_identifiability_post	n_samples	n_genes	n_orig_genes	seconds	semi_synthetic	per_fold_auc_post	is_label_flip
SKCM	LogReg_l2	0.6952976088569309	0.673174779813198	0.6952976088569309	0.673174779813198	0.0	ambiguous		212	3000	9179	0.38	False	GSE22153:0.7809;TCGA-SKCM:0.5655	False
THCA	LogReg_l2	0.9939978816052725	0.9948217017770977	0.9939978816052725	0.9948217017770977	0.0	true_biology		392	3000	11710	0.87	False	GSE27155:1.0000;TCGA-THCA:0.9896	False
THCA	RandomForest	0.9956160997999294	0.8775244850477286	0.9956160997999294	0.8775244850477286	0.0	true_biology		392	3000	11710	1.99	False	GSE27155:0.7912;TCGA-THCA:0.9638	False
SKCM	RandomForest	0.5292710532823527	0.6112542563107535	0.5292710532823527	0.6112542563107535	0.0	ambiguous		212	3000	9179	1.62	False	GSE22153:0.6080;TCGA-SKCM:0.6145	False
SKCM	LogReg_elasticnet	0.6736441629096996	0.6406323118187525	0.6736441629096996	0.6406323118187525	0.0	ambiguous		212	3000	9179	18.55	False	GSE22153:0.7407;TCGA-SKCM:0.5405	False
SKCM	GradientBoosting	0.49116851186060223	0.5547839506172839	0.5088314881393978	0.5547839506172839	0.0	no_signal		212	3000	9179	20.03	False	GSE22153:0.6096;TCGA-SKCM:0.5000	False
THCA	LogReg_elasticnet	0.9942921030952101	0.9949393903730729	0.9942921030952101	0.9949393903730729	0.0	true_biology		392	3000	11710	22.15	False	GSE27155:1.0000;TCGA-THCA:0.9899	False
THCA	GradientBoosting	0.7498158690785499	0.8000994533300053	0.7498158690785499	0.8000994533300053	0.0	true_biology		392	3000	11710	32.14	False	GSE27155:0.6291;TCGA-THCA:0.9711	False
LGG	LogReg_l2	0.9818181818181818	0.9768065268065268	0.9818181818181818	0.9768065268065268	0.0	true_biology		142	3000	20964	306.92	False	TCGA-LGG-TSS-DB:1.0000;TCGA-LGG-TSS-DU:0.9277;TCGA-LGG-TSS-HT:0.9795;TCGA-LGG-TSS-S9:1.0000	False
LGG	RandomForest	0.9815850815850816	0.9522435897435897	0.9815850815850816	0.9522435897435897	0.0	true_biology		142	3000	20964	324.75	False	TCGA-LGG-TSS-DB:1.0000;TCGA-LGG-TSS-DU:0.8718;TCGA-LGG-TSS-HT:0.9372;TCGA-LGG-TSS-S9:1.0000	False
LUAD	LogReg_l2	0.9557114339580792	0.9631498527472798	0.9557114339580792	0.9631498527472798	0.0	true_biology		236	3000	13416	0.91	False	GSE31210:0.9764;TCGA-LUAD:0.9499	False
LUAD	LogReg_elasticnet	0.9562699468904414	0.9454973938116891	0.9562699468904414	0.9454973938116891	0.0	true_biology		236	3000	13416	54.9	False	GSE31210:0.9614;TCGA-LUAD:0.9296	False
LUAD	RandomForest	0.3898044434586522	0.7530852217416485	0.6101955565413478	0.7530852217416485	0.0	true_biology		236	3000	13416	7.37	False	GSE31210:0.9232;TCGA-LUAD:0.5829	False
LGG	GradientBoosting	0.9635198135198135	0.930448717948718	0.9635198135198135	0.930448717948718	0.0	true_biology		142	3000	20964	413.55	False	TCGA-LGG-TSS-DB:1.0000;TCGA-LGG-TSS-DU:0.8846;TCGA-LGG-TSS-HT:0.8372;TCGA-LGG-TSS-S9:1.0000	False
LGG	LogReg_elasticnet	0.9824592074592075	0.9806526806526806	0.9824592074592075	0.9806526806526806	0.0	true_biology		142	3000	20964	424.42	False	TCGA-LGG-TSS-DB:1.0000;TCGA-LGG-TSS-DU:0.9277;TCGA-LGG-TSS-HT:0.9949;TCGA-LGG-TSS-S9:1.0000	False
COAD	LogReg_l2	0.9735021783315205	0.971676291586459	0.9735021783315205	0.971676291586459	0.0	true_biology		372	3000	12604	1.62	False	GSE39582:0.9601;TCGA-COAD:0.9833	False
LUAD	GradientBoosting	0.5	0.6443862210885611	0.5	0.6443862210885611	0.0	ambiguous		236	3000	13416	58.16	False	GSE31210:0.8189;TCGA-LUAD:0.4699	False
COAD	RandomForest	0.45847945711563515	0.9293011496146029	0.5415205428843648	0.9293011496146029	0.0	true_biology		372	3000	12604	6.13	False	GSE39582:0.9227;TCGA-COAD:0.9359	False
COAD	LogReg_elasticnet	0.9752291508681873	0.9678804245258741	0.9752291508681873	0.9678804245258741	0.0	true_biology		372	3000	12604	66.92	False	GSE39582:0.9550;TCGA-COAD:0.9808	False
COAD	GradientBoosting	0.6025252861454914	0.7448387096774194	0.6025252861454914	0.7448387096774194	0.0	true_biology		372	3000	12604	62.07	False	GSE39582:0.7097;TCGA-COAD:0.7800	False
SKCM	HistGB	0.5478395061728395	0.5339506172839505	0.5478395061728395	0.5339506172839505	0.0	no_signal		212	3000	9179	629.37	False	GSE22153:0.5679;TCGA-SKCM:0.5000	False
THCA	HistGB	0.8006565342389751	0.7404378015770272	0.8006565342389751	0.7404378015770272	0.0	true_biology		392	3000	11710	710.78	False	GSE27155:0.5000;TCGA-THCA:0.9809	False
