Cancer	Cohort	Type	RNA-seq n	MAF n	Class A	Class B	Usable (RNA ∩ label)
THCA	TCGA-THCA	TCGA	330	—	293	58	330
THCA	GSE27155	GEO	99	—	28	13	41
THCA	GSE33630	GEO	0	—	0	0	0
THCA	GSE29265	GEO	0	—	0	0	0
THCA	DIAL cohort (post-harmonize)	TOTAL	392	—	321	71	392
SKCM	TCGA-SKCM	TCGA	257	467	204	110	172
SKCM	GSE65904	GEO	0	—	0	0	0
SKCM	GSE22153	GEO	57	—	27	12	39
SKCM	DIAL cohort (post-harmonize)	TOTAL	212	—	145	67	212
LGG	TCGA-LGG	TCGA	260	509	414	95	257
LGG	GSE16011	GEO	0	—	0	0	0
LGG	GSE4271	GEO	0	—	0	0	0
LGG	DIAL cohort (post-harmonize)	TOTAL	142	—	116	26	142
LUAD	TCGA-LUAD	TCGA	254	544	139	51	87
LUAD	GSE31210	GEO	246	—	20	127	147
LUAD	GSE72094	GEO	0	—	0	0	0
LUAD	DIAL cohort (post-harmonize)	TOTAL	236	—	91	145	236
COAD	TCGA-COAD	TCGA	251	428	49	150	102
COAD	GSE39582	GEO	585	—	51	217	268
COAD	GSE17536	GEO	0	—	0	0	0
COAD	DIAL cohort (post-harmonize)	TOTAL	372	—	76	296	372
