cancer	classifier	auc_post_v51	auc_post_v52	delta_auc_post	dial_v51	dial_v52	delta_dial	interp_v51	interp_v52	is_flip_v51	is_flip_v52
THCA	LogReg_l2	0.0060021183947275	0.9948217017770977	0.9888195833823702	0.4939978816052724	0.0	-0.4939978816052724	batch_entangled	true_biology	True	False
THCA	RandomForest	0.1765001577803154	0.8775244850477286	0.7010243272674133	0.3234998422196845	0.0	-0.3234998422196845	batch_entangled	true_biology	True	False
THCA	XGBoost	0.4867105649440591			0.0132894350559409			no_signal		False	
THCA	LogReg_elasticnet	0.0078262916323408	0.9949393903730729	0.987113098740732	0.4921737083676591	0.0	-0.4921737083676591	batch_entangled	true_biology	True	False
THCA	GradientBoosting	0.1661897961400727	0.8000994533300053	0.6339096571899326	0.3338102038599273	0.0	-0.3338102038599273	batch_entangled	true_biology	True	False
SKCM	LogReg_l2	0.6411112062242006	0.673174779813198	0.03206357358899736	0.0	0.0	0.0	ambiguous	ambiguous	False	False
SKCM	RandomForest	0.5005397667827046	0.6112542563107535	0.11071448952804885	0.0	0.0	0.0	no_signal	ambiguous	False	False
SKCM	XGBoost	0.5586167703399342			0.0			no_signal		False	
SKCM	LogReg_elasticnet	0.6256862409404782	0.6406323118187525	0.014946070878274265	0.0	0.0	0.0	ambiguous	ambiguous	False	False
SKCM	GradientBoosting	0.5954990108238696	0.5547839506172839	-0.04071506020658566	0.0	0.0	0.0	no_signal	no_signal	False	False
LGG	LogReg_l2	0.9836829836829836	0.9768065268065268	-0.006876456876456771	0.0	0.0	0.0	true_biology	true_biology	False	False
LGG	RandomForest	0.9847902097902098	0.9522435897435897	-0.03254662004662012	0.0	0.0	0.0	true_biology	true_biology	False	False
LGG	XGBoost	0.9732350982350982			0.0			true_biology		False	
LGG	LogReg_elasticnet	0.9848484848484848	0.9806526806526806	-0.00419580419580412	0.0	0.0	0.0	true_biology	true_biology	False	False
LGG	GradientBoosting	0.968997668997669	0.930448717948718	-0.03854895104895106	0.0	0.0	0.0	true_biology	true_biology	False	False
LUAD	LogReg_l2	0.9494146858403264	0.9631498527472798	0.013735166906953422	0.0	0.0	0.0	true_biology	true_biology	False	False
LUAD	RandomForest	0.8341493844959521	0.7530852217416485	-0.08106416275430361	0.0	0.0	0.0	true_biology	true_biology	False	False
LUAD	XGBoost	0.5392454684361638			0.0			no_signal		False	
LUAD	LogReg_elasticnet	0.955465293950932	0.9454973938116891	-0.00996790013924298	0.0	0.0	0.0	true_biology	true_biology	False	False
LUAD	GradientBoosting	0.4598121757667616	0.6443862210885611	0.18457404532179955	0.0401878242332384	0.0	-0.0401878242332384	no_signal	ambiguous	False	False
COAD	LogReg_l2	0.9748310920938404	0.971676291586459	-0.0031548005073814833	0.0	0.0	0.0	true_biology	true_biology	False	False
COAD	RandomForest	0.952438987845036	0.9293011496146029	-0.02313783823043314	0.0	0.0	0.0	true_biology	true_biology	False	False
COAD	XGBoost	0.9545920875495972			0.0			true_biology		False	
COAD	LogReg_elasticnet	0.9749580746957828	0.9678804245258741	-0.007077650169908689	0.0	0.0	0.0	true_biology	true_biology	False	False
COAD	GradientBoosting	0.8939142255513883	0.7448387096774194	-0.14907551587396894	0.0	0.0	0.0	true_biology	true_biology	False	False
