panel	contrast	n	value	interpretation	n_pos	auc	mw_u	mw_p
HT_13	GMM_BIC_2_minus_1	9	-5.861276756488749	negative supports bimodal				
HT_13	Hartigan_dip_p	9		p<0.05 supports non-unimodal				
HT_13	tumor_vs_normal	9			5.0	0.4	8.0	0.7301587301587302
FA_12	GMM_BIC_2_minus_1	9	5.70036967681698	negative supports bimodal				
FA_12	Hartigan_dip_p	9		p<0.05 supports non-unimodal				
FA_12	tumor_vs_normal	9			5.0	0.75	15.0	0.2857142857142857
MAPK_9	GMM_BIC_2_minus_1	9	-7.674686538254811	negative supports bimodal				
MAPK_9	Hartigan_dip_p	9		p<0.05 supports non-unimodal				
MAPK_9	tumor_vs_normal	9			5.0	0.75	15.0	0.2857142857142857
