symbol	ERR1518626	ERR1518627	ERR1518628	ERR1518629	ERR1518630	ERR1518631	ERR1518632	ERR1518633	ERR1518634
5S_rRNA	4.05049	0.0	4.78631	0.0	0.0	0.0	0.0	0.0	0.0
5_8S_rRNA	642.114	14.9407	226.32	591.871	1047.23	361.741	1.80386	53.1324	2.90115
7SK	1.04322e-08	33.3404	0.25948600371234	440.454	9.9044e-09	155.965	60.1799	225.79	45.9332
A1BG	18.9629408	5.658267	32.227444	9.360107	47.4970974	8.842156999999998	31.3063766589	8.524053	23.192008
A1BG-AS1	1.394068	0.7619537	4.1641561	0.9614400000000001	3.7863214999999997	0.464716	5.971207000000001	0.8224305	5.094418
A1CF	0.0	0.0	0.01078046	0.122717	0.00467324	0.0057111	0.0	0.0211126	0.0350598
A2M	101.89479	120.62682	178.111912	154.634802	159.213677	157.834782	225.027004	113.036054	114.63747699999999
A2M-AS1	0.185375	1.0516118210999998	1.083272	1.177979	1.168171	1.7026409999999998	2.212063	1.6632696290000002	1.2176840701
A2ML1	0.0661192	0.020397	0.0442032	0.2069393	0.0603285	0.222635	0.1428932	0.25670910283399	0.147595
A2ML1-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A2ML1-AS2	0.0	0.0	0.0	0.0	0.0	0.24681	0.0	0.0	0.0
A2MP1	0.0	0.0	0.15924390000000002	0.179119	0.1717825	0.252177	0.0	0.0	0.311394
A3GALT2	0.0540013	0.0	0.0771636	0.217085	0.0999485	0.061061	2.00125	0.115582	0.0
A4GALT	2.296222	5.585638	5.582396	5.412247	7.182688	10.092593020733199	8.802252	6.66718724579	4.611579000000001
A4GNT	0.0	0.0	0.0203288	0.171361	0.0263865	0.0	0.0	0.0	0.197479
AA06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AAAS	15.843578274173701	17.786719599999998	25.20104175625	27.434546	32.0919040634039	26.505909349	39.780980400000004	23.793741293691998	40.3873361438882
AACS	9.7750494	8.0182288	18.0919	10.0626511	14.642247500000002	9.6826501	13.0841943	12.725713	15.2776319
AACSP1	0.0172842	0.0191439	0.0	0.0	0.0	0.0	0.0739626	0.0726185	0.0
AADAC	0.0	0.19313170000000002	0.0	0.0	0.07801949999999999	0.037252	0.0	0.0698234	0.300016
AADACL2	0.0	0.0	0.0	0.0352889	0.0	0.0	0.0	0.0	0.0
AADACL2-AS1	0.0	0.11705	0.0	0.0	0.0	0.344014	0.0	0.222003	0.0
