panel	n_pairs	median_tumor_minus_normal	mean_tumor_minus_normal	wilcoxon_p
HT_13	4	-0.15776629131807435	-0.0045787780181545945	0.875
FA_12	4	0.22393525638074022	0.3252613988795682	0.125
MAPK_9	4	0.2838653500310139	0.45143869965132816	0.375
