gsm	unsup	panel_z	histology	unsup_t
GSM6591107	DM2	0.33015285905844277	PTC	DM2
GSM6591108	DM2	-0.29378951483453697	PTC	DM2
GSM6591109	DM2	0.565828335023236	PTC	DM2
GSM6591110	DM2	-0.35209676402136153	PTC	DM2
GSM6591111	DM2	0.2513802926718925	PTC	DM2
GSM6591112	DM2	-0.29439785875050933	PTC	DM2
GSM6591113	DM2	0.07687543185298971	PTC	DM2
GSM6591114	DM2	-0.09781367571758345	PTC	DM2
GSM6591115	DM2	-0.22488389349108054	PTC	DM2
GSM6591116	DM2	-0.2819131112073568	PTC	DM2
GSM6591117	DM2	0.5913833363851833	PTC	DM2
GSM6591118	DM2	-0.28414975668687004	PTC	DM2
GSM6591119	DM2	-0.08526669341136049	PTC	DM2
GSM6591120	DM2	0.2759977623697535	PTC	DM2
GSM6591121	DM2	-0.15615385323355196	PTC	DM2
GSM6591122	DM2	-0.3306498328632295	PTC	DM2
GSM6591123	DM2	-0.44820795607584735	PTC	DM2
GSM6591124	DM2	0.45019450370879455	PTC	DM2
GSM6591125	DM2	0.12375446510498901	PTC	DM2
GSM6591126	DM2	-0.1889352996851185	PTC	DM2
GSM6591127	DM2	0.3391621130723788	PTC	DM2
GSM6591128	DM2	0.351250687395495	PTC	DM2
GSM6591129	DM2	-0.3446924467918434	PTC	DM2
GSM6591130	DM2	-0.14465000956054316	PTC	DM2
GSM6591131	DM2	-0.5234950602968437	PTC	DM2
GSM6591132	DM2	-0.1497480347355884	PTC	DM2
GSM6591133	DM2	0.6543212116373729	PTC	DM2
GSM6591134	DM2	0.26583453350964475	PTC	DM2
GSM6591135	DM2	0.5237174995920354	PTC	DM2
GSM6591136	DM2	0.48736962532530675	PTC	DM2
GSM6591137	DM2	0.5666240144203725	PTC	DM2
GSM6591138	DM2	0.35689380885572625	PTC	DM2
GSM6591139	DM2	-0.0013228375771771844	PTC	DM2
GSM6591140	DM2	-0.53368952263829	PTC	DM2
GSM6591141	DM2	-0.07399772283025594	PTC	DM2
GSM6591142	DM2	-0.14343242616139612	PTC	DM2
GSM6591143	DM2	-0.4876441777691545	PTC	DM2
GSM6591144	DM2	-1.516485770172977	PTC	DM2
GSM6591145	DM2	-0.61672128694165	PTC	DM2
GSM6591146	DM2	-0.6315349886792211	PTC	DM2
GSM6591147	DM2	-0.3823336224736608	PTC	DM2
GSM6591148	DM2	-0.6503652284592221	PTC	DM2
GSM6591149	DM2	-0.3089489076476374	PTC	DM2
GSM6591150	DM2	0.5890009840943188	PTC	DM2
GSM6591151	DM2	-0.39894992822781133	PTC	DM2
GSM6591152	DM2	-0.6464263264656136	PTC	DM2
GSM6591153	DM2	0.37009155979029307	PTC	DM2
GSM6591154	DM2	-0.5919978717435551	PTC	DM2
GSM6591155	DM2	-0.4107578209132038	PTC	DM2
GSM6591156	DM2	0.25017452839814275	PTC	DM2
GSM6591157	DM2	0.538007116559893	PTC	DM2
GSM6591158	DM2	-0.6166694939661863	PTC	DM2
GSM6591159	DM2	0.559498546926572	PTC	DM2
