sample	histology	bc	n_cells
ATC09	ATC	0.5499984196330003	897
ATC13	ATC	0.571376506871416	3308
ATC15	ATC	0.8000090595566883	56
ATC12	ATC	0.8626888618764815	1296
ATC08	ATC	0.8998495073461454	213
ATC10	ATC	0.9281694278379277	67
ATC11	ATC	0.9622497976205793	174
PTC01	PTC	0.24771686930187575	3565
PTC07	PTC	0.27214165606158736	2696
PTC06	PTC	0.3023813209026105	417
PTC05	PTC	0.3192942338903459	629
PTC04	PTC	0.3493505479278221	1197
PTC03	PTC	0.5246940645470693	86
