category_clean	n	mean_p	median_p	n_DM1	n_DM2
FA (follicular adenoma)	23	0.778	0.952	4	19
FTC (follicular carcinoma)	30	0.807	0.946	5	25
FVPTC (follicular variant)	48	0.92	0.997	3	45
Matched normal	81	0.889	0.911	0	81
PTC (papillary)	77	0.975	1.0	2	75
unknown	1	0.97	0.97	0	1
