run	SLC5A5	TPO	TG	TSHR	PAX8	NKX2-1	FOXE1	DIO1
ERR1512530	8142.8	90142.79014	789337.4728999999	38133.856	23682.3680241399	26892.1	22952.8263	715.586446
ERR1518626	8142.8	90142.79014	789337.4728999999	38133.856	23682.3680241399	26892.1	22952.8263	715.586446
ERR1518627	6840.48	51256.9051455	836175.2977	39994.584	23327.7820400868	23041.168	14167.34567	5196.2155999999995
ERR1518628	3027.38	11038.19955319	934485.5192	18916.77797	12148.71762	13683.871	6365.06411	334.52116
ERR1518629	4477.43	31766.8343090215	904283.2616	17538.8162	16384.4040916601	15772.554000000002	7499.558129999999	2276.2588683
ERR1518630	5225.86	195548.5946992811	711218.1810999999	21938.4083	25074.090259999997	21560.537	17239.48198	2194.2966
ERR1518631	5158.27	55668.087418666	863644.7597	26186.7484	20258.3051	19365.112	8514.0605	1204.6810020776302
ERR1518632	11866.6	56004.09707835832	746628.9516	50513.7445	56033.2567	49145.081999999995	29606.89833	201.03939
ERR1518633	5482.92681	51803.405028812005	864152.5205	23918.966099999998	26305.18520245763	16976.513	8714.41	2645.071600120907
ERR1518634	5135.45	45280.5817	869586.025	20995.8235	22825.32168647341	21274.655	9244.1523	5657.88750135
ERR1518635	2632.33	32629.74031299943	923194.6028	12627.804	11582.000420239	10643.484999999999	4411.32	2278.9634518000003
ERR1518636	11821.4	87709.0933681	707103.618	75241.2599	33504.404039771696	51153.184	20622.935360000003	12844.0553
ERR1518637	5041.95	67715.86177718407	863302.6157	23402.9964	15690.7724748603	17128.3782	5959.8882699999995	1757.3375
ERR1518638	4363.4	167818.55892929155	766654.7086	25528.661200000002	11296.80649229654	15097.295999999998	8657.72	583.2442
ERR1518639	6096.079159999999	85936.4510644	804144.3574	32719.6737	27264.19390297705	21942.51	9798.19754	12098.82
ERR1518642	3454.89	168700.35259006	760142.3946	23616.338	11007.6573310632	14101.702000000001	8245.84	10729.9657
