	RAI_8 (all)	TF_3 (subset)	effector_5 (subset)	TF_4 backbone	Lineage_minimal_4	Lineage_minimal_6
RAI_8 (all)	1.0	0.8799952732662402	0.44270686997770853	0.8945628299216586	0.5988386305083192	0.7807123246513368
TF_3 (subset)	0.8799952732662402	1.0	0.3628300036660194	0.9845746650769868	0.5277949381316336	0.7002958578884716
effector_5 (subset)	0.44270686997770853	0.3628300036660194	1.0	0.3720430351385097	0.7348672521847253	0.58453259280944
TF_4 backbone	0.8945628299216586	0.9845746650769868	0.3720430351385097	1.0	0.5389288235365004	0.7132625247756306
Lineage_minimal_4	0.5988386305083192	0.5277949381316336	0.7348672521847253	0.5389288235365004	1.0	0.7912422670674425
Lineage_minimal_6	0.7807123246513368	0.7002958578884716	0.58453259280944	0.7132625247756306	0.7912422670674425	1.0
