sample	tissue	mean	std	count
GSM5585102_PTC1_T	Tumor	-0.2400024373042429	0.10841007924856766	5917
GSM5585103_PTC1_P	Paratumour	-0.24198218001348257	0.1749319909810827	8972
GSM5585104_PTC2_T	Tumor	-0.24741378894848604	0.08170355521457656	5102
GSM5585105_PTC2_P	Paratumour	-0.24333759524377194	0.12155928871359806	7704
GSM5585106_PTC2_LeftLN	Paratumour	-0.2484039642377139	0.06398425099793943	10414
GSM5585107_PTC3_T	Tumor	-0.15826580148746444	0.4255381746677892	7436
GSM5585108_PTC3_P	Paratumour	-0.22620163677559252	0.2336938012318027	9695
GSM5585109_PTC3_LeftLN	Paratumour	-0.2391358348214855	0.15114645548415906	10923
GSM5585110_PTC3_RightLN	Paratumour	-0.23629010800339328	0.16186098829289244	11670
GSM5585112_PTC5_T	Tumor	0.12994801433683528	0.5544815563989555	4477
GSM5585113_PTC5_P	Paratumour	0.987900822579562	1.045546014562536	2757
GSM5585114_PTC5_RightLN	Paratumour	0.285392684088108	0.3668698210773277	6257
GSM5585117_PTC8_T	Tumor	0.5074784526295212	0.8852516435105976	10550
GSM5585119_PTC9_T	Tumor	0.4791006268508241	0.9624291153069022	10109
GSM5585121_PTC10_T	Tumor	0.12336083202176851	0.5314619799030972	22424
