sample	histology	n_cells	n_silenced	mean_DM_score	std_DM_score	silenced_pct	within_tumor_heterogeneity
ATC08	ATC	213	212	-0.5844234653051643	0.0820839769166317	99.53051643192488	0.0820839769166317
ATC09	ATC	897	897	-0.514415726722408	0.08205136872106238	100.0	0.08205136872106238
ATC10	ATC	67	67	-0.5900745850746268	0.022625643331223997	100.0	0.022625643331223997
ATC11	ATC	174	174	-0.5922735720689655	0.01813643746693313	100.0	0.01813643746693313
ATC12	ATC	1296	1296	-0.5933374061959876	0.010465376847602681	100.0	0.010465376847602681
ATC13	ATC	3308	3282	-0.5648434743658707	0.12210542506353499	99.21402660217655	0.12210542506353499
ATC14	ATC	15	13	-0.3570746226666667	0.6332804443892547	86.66666666666667	0.6332804443892547
ATC15	ATC	56	45	-0.20044738473214285	0.7614181148014878	80.35714285714286	0.7614181148014878
ATC17	ATC	8	8	-0.5940411	0.0	100.0	0.0
PTC01	PTC	3565	625	0.2687840660836928	0.307237048138375	17.53155680224404	0.307237048138375
PTC03	PTC	86	34	0.1375446282177907	0.49477143959702863	39.53488372093023	0.49477143959702863
PTC04	PTC	1197	444	0.18126542581182958	0.47349292114062574	37.092731829573935	0.47349292114062574
PTC05	PTC	629	179	0.1685367182181558	0.34894326590818026	28.457869634340224	0.34894326590818026
PTC06	PTC	417	63	0.3497002509254197	0.32600717765606385	15.107913669064748	0.32600717765606385
PTC07	PTC	2696	280	0.3553787456681788	0.2919860575329211	10.385756676557863	0.2919860575329211
