split_name	policy_name	coverage	n	n_pos	prevalence	AUPRC	AUROC	Brier	ECE	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	top20_precision	recall_at_20	enrichment_at_20
exact_peptide_hla_holdout	selective_ensemble_v2_1_conservative	1.0	89	21	0.23595505617977527	0.636884934026875	0.759453781512605	0.22617105419513034	0.2765216454783371	1.0	0.23809523809523808	4.238095238095238	0.7	0.3333333333333333	2.9666666666666663	0.65	0.6190476190476191	2.7547619047619047
exact_peptide_hla_holdout	selective_ensemble_v2_1_conservative	0.8	72	19	0.2638888888888889	0.6772820151639121	0.7800397219463753	0.2540519972539874	0.31425648800206946	1.0	0.2631578947368421	3.789473684210526	0.7	0.3684210526315789	2.6526315789473682	0.65	0.6842105263157895	2.463157894736842
exact_peptide_hla_holdout	selective_ensemble_v2_1_conservative	0.6	54	16	0.2962962962962963	0.7514990540024016	0.861842105263158	0.28185151104647344	0.3621381064162593	1.0	0.3125	3.375	0.7	0.4375	2.3625	0.65	0.8125	2.19375
exact_peptide_hla_holdout	selective_ensemble_v2_1_conservative	0.4	36	15	0.4166666666666667	0.7755827307732934	0.8126984126984127	0.29691522177182633	0.31887389149711115	1.0	0.3333333333333333	2.4	0.7	0.4666666666666667	1.6799999999999997	0.65	0.8666666666666667	1.56
exact_peptide_hla_holdout	selective_ensemble_v2_1_conservative	0.25	23	14	0.6086956521739131	0.7940356844492182	0.6428571428571428	0.2663968170675333	0.19942845478665214	1.0	0.35714285714285715	1.6428571428571428	0.7	0.5	1.15	0.65	0.9285714285714286	1.0678571428571428
exact_peptide_hla_holdout	selective_ensemble_v2_1_topk	1.0	89	21	0.23595505617977527	0.636884934026875	0.759453781512605	0.22617105419513034	0.2765216454783371	1.0	0.23809523809523808	4.238095238095238	0.7	0.3333333333333333	2.9666666666666663	0.65	0.6190476190476191	2.7547619047619047
exact_peptide_hla_holdout	selective_ensemble_v2_1_topk	0.8	72	19	0.2638888888888889	0.6772820151639121	0.7800397219463753	0.2540519972539874	0.31425648800206946	1.0	0.2631578947368421	3.789473684210526	0.7	0.3684210526315789	2.6526315789473682	0.65	0.6842105263157895	2.463157894736842
exact_peptide_hla_holdout	selective_ensemble_v2_1_topk	0.6	54	16	0.2962962962962963	0.7514990540024016	0.861842105263158	0.28185151104647344	0.3621381064162593	1.0	0.3125	3.375	0.7	0.4375	2.3625	0.65	0.8125	2.19375
exact_peptide_hla_holdout	selective_ensemble_v2_1_topk	0.4	36	15	0.4166666666666667	0.7755827307732934	0.8126984126984127	0.29691522177182633	0.31887389149711115	1.0	0.3333333333333333	2.4	0.7	0.4666666666666667	1.6799999999999997	0.65	0.8666666666666667	1.56
exact_peptide_hla_holdout	selective_ensemble_v2_1_topk	0.25	23	14	0.6086956521739131	0.7940356844492182	0.6428571428571428	0.2663968170675333	0.19942845478665214	1.0	0.35714285714285715	1.6428571428571428	0.7	0.5	1.15	0.65	0.9285714285714286	1.0678571428571428
hla_stratified_group_5fold	selective_ensemble_v2_1_conservative	1.0	89	21	0.23595505617977527	0.5631973069258118	0.7745098039215687	0.2362608840507888	0.22788695739335862	0.8	0.19047619047619047	3.390476190476191	0.5	0.23809523809523808	2.119047619047619	0.5	0.47619047619047616	2.119047619047619
hla_stratified_group_5fold	selective_ensemble_v2_1_conservative	0.8	72	20	0.2777777777777778	0.5788571722721024	0.7509615384615385	0.27826786457142305	0.28996133757380704	0.8	0.2	2.88	0.5	0.25	1.7999999999999998	0.5	0.5	1.7999999999999998
