split_name	model_name	n	n_pos	prevalence	AUPRC	AUROC	Brier	ECE	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	top20_precision	recall_at_20	enrichment_at_20	model_family	claim_status	runpod_source_file
exact_peptide_hla_holdout	anchor_lr	89	21	0.2359550561797752	0.5178009114632494	0.6701680672268907	0.2049926275703754	0.197790842616957	0.6	0.1428571428571428	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.5	0.4761904761904761	2.119047619047619	clean_anchor	reviewer_safe_internal_locked	NA
exact_peptide_hla_holdout	anchor_rf	89	21	0.2359550561797752	0.525436253778695	0.714985994397759	0.1783828013956312	0.1489227377951896	0.8	0.1904761904761904	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427	0.45	0.4285714285714285	1.9071428571428573	clean_anchor	reviewer_safe_internal_locked	NA
exact_peptide_hla_holdout	qk_no_anchor	89	21	0.2359550561797752	0.4521131101029039	0.7030812324929971	0.2144274503254765	0.2171386312391511	0.8	0.1904761904761904	3.390476190476191	0.5	0.238095238095238	2.119047619047619	0.4	0.3809523809523809	1.6952380952380954	qk_fallback	diagnostic	NA
exact_peptide_hla_holdout	qk_quantum_only	89	21	0.2359550561797752	0.4324270661561637	0.65406162464986	0.2357847003275968	0.2391973214691844	0.6	0.1428571428571428	2.5428571428571427	0.4	0.1904761904761904	1.6952380952380954	0.5	0.4761904761904761	2.119047619047619	qk_fallback	diagnostic	NA
hla_stratified_group_5fold	anchor_lr	89	21	0.2359550561797752	0.492459149337728	0.6799719887955182	0.1998148838323021	0.1682220248325189	0.6	0.1428571428571428	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.45	0.4285714285714285	1.9071428571428573	clean_anchor	reviewer_safe_internal_locked	NA
hla_stratified_group_5fold	anchor_rf	89	21	0.2359550561797752	0.5054898858953569	0.7170868347338936	0.1795231177924925	0.1511168255555888	0.6	0.1428571428571428	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.45	0.4285714285714285	1.9071428571428573	clean_anchor	reviewer_safe_internal_locked	NA
hla_stratified_group_5fold	qk_no_anchor	89	21	0.2359550561797752	0.4250397439572104	0.6659663865546218	0.2239851768705719	0.2115158300787289	0.4	0.0952380952380952	1.6952380952380954	0.4	0.1904761904761904	1.6952380952380954	0.4	0.3809523809523809	1.6952380952380954	qk_fallback	diagnostic	NA
hla_stratified_group_5fold	qk_quantum_only	89	21	0.2359550561797752	0.4269751957694988	0.6533613445378151	0.250139503098153	0.265194688315661	0.6	0.1428571428571428	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.35	0.3333333333333333	1.4833333333333332	qk_fallback	diagnostic	NA
hla_supertype_heldout	anchor_lr	72	15	0.2083333333333333	0.4969117884708984	0.7380116959064327	0.1866188533624302	0.1881065838342975	0.8	0.2666666666666666	3.84	0.5	0.3333333333333333	2.4	0.45	0.6	2.16	clean_anchor	reviewer_safe_internal_locked	NA
hla_supertype_heldout	anchor_rf	72	15	0.2083333333333333	0.4778842216998835	0.7473684210526316	0.1704098113236289	0.1811962771109258	0.4	0.1333333333333333	1.92	0.5	0.3333333333333333	2.4	0.35	0.4666666666666667	1.6799999999999995	clean_anchor	reviewer_safe_internal_locked	NA
hla_supertype_heldout	qk_no_anchor	72	15	0.2083333333333333	0.3718070024455509	0.671345029239766	0.2375909159043016	0.2714702304288396	0.2	0.0666666666666666	0.96	0.3	0.2	1.44	0.3	0.4	1.44	qk_fallback	diagnostic	NA
hla_supertype_heldout	qk_quantum_only	72	15	0.2083333333333333	0.4498358183585776	0.6350877192982456	0.2596757510341324	0.2891168135595949	0.6	0.2	2.88	0.4	0.2666666666666666	1.92	0.3	0.4	1.44	qk_fallback	diagnostic	NA
near_peptide_cluster_holdout	anchor_lr	89	21	0.2359550561797752	0.4340581657052896	0.6309523809523809	0.2389408289435774	0.2291220535196301	0.6	0.1428571428571428	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.35	0.3333333333333333	1.4833333333333332	clean_anchor	reviewer_safe_internal_locked	NA
near_peptide_cluster_holdout	anchor_rf	89	21	0.2359550561797752	0.4419260852577136	0.6715686274509804	0.1846541698055655	0.1294854280430379	0.6	0.1428571428571428	2.5428571428571427	0.5	0.238095238095238	2.119047619047619	0.45	0.4285714285714285	1.9071428571428573	clean_anchor	reviewer_safe_internal_locked	NA
near_peptide_cluster_holdout	qk_no_anchor	89	21	0.2359550561797752	0.3454101251390264	0.6596638655462185	0.2347270983111011	0.2421664527266554	0.4	0.0952380952380952	1.6952380952380954	0.4	0.1904761904761904	1.6952380952380954	0.35	0.3333333333333333	1.4833333333333332	qk_fallback	diagnostic	NA
near_peptide_cluster_holdout	qk_quantum_only	89	21	0.2359550561797752	0.4596950136286308	0.6785714285714286	0.2237980736527077	0.2296208129234449	0.6	0.1428571428571428	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.45	0.4285714285714285	1.9071428571428573	qk_fallback	diagnostic	NA
repeated_stratified_5x5_internal	anchor_lr	445	105	0.2359550561797752	0.4602062347941671	0.6462464985994398	0.2265330201849021	0.2143240030367467	0.8	0.0380952380952381	3.390476190476191	0.8	0.0761904761904762	3.390476190476191	0.7	0.1333333333333333	2.9666666666666663	clean_anchor	reviewer_safe_internal_locked	NA
repeated_stratified_5x5_internal	anchor_rf	445	105	0.2359550561797752	0.4073845927175117	0.6876190476190476	0.182472293175518	0.1315058953638253	0.6	0.0285714285714285	2.5428571428571427	0.5	0.0476190476190476	2.119047619047619	0.35	0.0666666666666666	1.4833333333333332	clean_anchor	reviewer_safe_internal_locked	NA
