split_name	model_name	n	n_pos	prevalence	AUPRC	AUROC	Brier	ECE	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	top20_precision	recall_at_20	enrichment_at_20	model_family	claim_status
exact_peptide_hla_holdout	prespecified_rf_qk_no_anchor_w0.5	89	21	0.23595505617977527	0.5869645960912089	0.7570028011204482	0.18427719438277027	0.18693148476090357	1.0	0.23809523809523808	4.238095238095238	0.7	0.3333333333333333	2.9666666666666663	0.5	0.47619047619047616	2.119047619047619	v1_foldsafe_fusion	reviewer_safe_internal_locked
exact_peptide_hla_holdout	prespecified_lr_qk_no_anchor_w0.5	89	21	0.23595505617977527	0.5722661297028351	0.7640056022408963	0.16922587549137844	0.15498335443900238	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427	0.5	0.47619047619047616	2.119047619047619	v1_foldsafe_fusion	reviewer_safe_internal_locked
exact_peptide_hla_holdout	nested_rf_qk_no_anchor_train_selected	89	21	0.23595505617977527	0.5701215485408488	0.7415966386554621	0.1844505003510634	0.19591506270185455	1.0	0.23809523809523808	4.238095238095238	0.6	0.2857142857142857	2.5428571428571427	0.5	0.47619047619047616	2.119047619047619	v1_foldsafe_fusion	reviewer_safe_internal_locked
exact_peptide_hla_holdout	rule_gate_rf_qk_fallback_train_selected	89	21	0.23595505617977527	0.5701215485408488	0.7415966386554621	0.1844505003510634	0.19591506270185455	1.0	0.23809523809523808	4.238095238095238	0.6	0.2857142857142857	2.5428571428571427	0.5	0.47619047619047616	2.119047619047619	v1_foldsafe_fusion	reviewer_safe_internal_locked
exact_peptide_hla_holdout	v2_cf_plm_rf	89	21	0.23595505617977527	0.5610051286209419	0.7464985994397759	0.16767284605205976	0.12707980858567114	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427	0.5	0.47619047619047616	2.119047619047619	counterfactual_plm	reviewer_safe_internal_locked
exact_peptide_hla_holdout	v2_multimodal_lr	89	21	0.23595505617977527	0.5601916332880081	0.7394957983193278	0.23837190522289212	0.24118695903475254	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427	0.5	0.47619047619047616	2.119047619047619	multimodal_structure_processing	reviewer_safe_internal_locked
exact_peptide_hla_holdout	nested_rf_qk_quantum_only_train_selected	89	21	0.23595505617977527	0.5536344496457672	0.7661064425770309	0.18136335437810008	0.19830574498498216	0.8	0.19047619047619047	3.390476190476191	0.8	0.38095238095238093	3.390476190476191	0.55	0.5238095238095238	2.330952380952381	v1_foldsafe_fusion	reviewer_safe_internal_locked
exact_peptide_hla_holdout	v2_multimodal_rf	89	21	0.23595505617977527	0.5482846579707392	0.7535014005602241	0.16892829829683417	0.13581802044099936	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.55	0.5238095238095238	2.330952380952381	multimodal_structure_processing	reviewer_safe_internal_locked
hla_stratified_group_5fold	v2_cf_plm_lr	89	21	0.23595505617977527	0.5631973069258118	0.7745098039215687	0.2362608840507888	0.22788695739335862	0.8	0.19047619047619047	3.390476190476191	0.5	0.23809523809523808	2.119047619047619	0.5	0.47619047619047616	2.119047619047619	counterfactual_plm	reviewer_safe_internal_locked
hla_stratified_group_5fold	nested_rf_qk_quantum_only_train_selected	89	21	0.23595505617977527	0.5550392245105422	0.761204481792717	0.18384975390949337	0.1838764713477137	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.5	0.47619047619047616	2.119047619047619	v1_foldsafe_fusion	reviewer_safe_internal_locked
hla_stratified_group_5fold	v2_rule_moe_cf_plm_structure	89	21	0.23595505617977527	0.5316022078034519	0.7675070028011204	0.16897175866092468	0.15230884438248984	0.4	0.09523809523809523	1.6952380952380954	0.5	0.23809523809523808	2.119047619047619	0.55	0.5238095238095238	2.330952380952381	mixture_of_experts_prespecified	reviewer_safe_internal_locked
hla_stratified_group_5fold	prespecified_rf_qk_no_anchor_w0.5	89	21	0.23595505617977527	0.5211785584562283	0.7240896358543417	0.18983474268664546	0.17238842515607639	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.5	0.47619047619047616	2.119047619047619	v1_foldsafe_fusion	reviewer_safe_internal_locked
hla_stratified_group_5fold	anchor_rf	89	21	0.23595505617977527	0.5054898858953569	0.7170868347338936	0.17952311779249255	0.15111682555558884	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.45	0.42857142857142855	1.9071428571428573	clean_anchor	reviewer_safe_internal_locked
hla_stratified_group_5fold	v2_counterfactual_lr_hla_ranknorm	89	21	0.23595505617977527	0.49832292803581874	0.7492997198879551	0.2966993250959785	0.33993452499510796	0.6	0.14285714285714285	2.5428571428571427	0.7	0.3333333333333333	2.9666666666666663	0.5	0.47619047619047616	2.119047619047619	source_robust_rank_normalization	reviewer_safe_internal_locked
hla_stratified_group_5fold	prespecified_lr_qk_quantum_only_w0.5	89	21	0.23595505617977527	0.4975755192970593	0.7443977591036415	0.18046267844245298	0.17030381924973648	0.6	0.14285714285714285	2.5428571428571427	0.7	0.3333333333333333	2.9666666666666663	0.45	0.42857142857142855	1.9071428571428573	v1_foldsafe_fusion	reviewer_safe_internal_locked
hla_stratified_group_5fold	anchor_lr	89	21	0.23595505617977527	0.492459149337728	0.6799719887955182	0.1998148838323021	0.1682220248325189	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427	0.45	0.42857142857142855	1.9071428571428573	clean_anchor	reviewer_safe_internal_locked
hla_supertype_heldout	v2_multimodal_lr	72	15	0.20833333333333334	0.5854203140701997	0.8035087719298246	0.20640018705796087	0.21298416344591753	0.6	0.2	2.88	0.6	0.4	2.88	0.5	0.6666666666666666	2.4	multimodal_structure_processing	reviewer_safe_internal_locked
hla_supertype_heldout	v2_rule_moe_cf_plm_structure	72	15	0.20833333333333334	0.5792877288727721	0.7929824561403509	0.15612045981073702	0.1650013521090553	0.6	0.2	2.88	0.7	0.4666666666666667	3.3599999999999994	0.5	0.6666666666666666	2.4	mixture_of_experts_prespecified	reviewer_safe_internal_locked
hla_supertype_heldout	v2_cf_plm_lr	72	15	0.20833333333333334	0.5531503973609238	0.7953216374269005	0.22007403728172678	0.2301567819863023	0.4	0.13333333333333333	1.92	0.6	0.4	2.88	0.55	0.7333333333333333	2.64	counterfactual_plm	reviewer_safe_internal_locked
hla_supertype_heldout	prespecified_lr_qk_quantum_only_w0.5	72	15	0.20833333333333334	0.5449224685043099	0.7672514619883041	0.17553913025374684	0.19606734283975719	0.6	0.2	2.88	0.6	0.4	2.88	0.4	0.5333333333333333	1.92	v1_foldsafe_fusion	reviewer_safe_internal_locked
hla_supertype_heldout	prespecified_rf_qk_quantum_only_w0.5	72	15	0.20833333333333334	0.5152318028436839	0.7134502923976609	0.19633605352594286	0.23037115910101194	0.8	0.26666666666666666	3.84	0.5	0.3333333333333333	2.4	0.4	0.5333333333333333	1.92	v1_foldsafe_fusion	reviewer_safe_internal_locked
hla_supertype_heldout	nested_lr_qk_no_anchor_train_selected	72	15	0.20833333333333334	0.5139715816110597	0.7497076023391813	0.17404942715260832	0.14709359661913254	0.6	0.2	2.88	0.5	0.3333333333333333	2.4	0.4	0.5333333333333333	1.92	v1_foldsafe_fusion	reviewer_safe_internal_locked
hla_supertype_heldout	nested_rf_qk_quantum_only_train_selected	72	15	0.20833333333333334	0.5014789971640761	0.7228070175438597	0.1862656901811389	0.21146284148388023	0.6	0.2	2.88	0.5	0.3333333333333333	2.4	0.35	0.4666666666666667	1.6799999999999997	v1_foldsafe_fusion	reviewer_safe_internal_locked
hla_supertype_heldout	anchor_lr	72	15	0.20833333333333334	0.49691178847089845	0.7380116959064327	0.18661885336243025	0.1881065838342975	0.8	0.26666666666666666	3.84	0.5	0.3333333333333333	2.4	0.45	0.6	2.16	clean_anchor	reviewer_safe_internal_locked
near_peptide_cluster_holdout	rule_gate_rf_qk_fallback_train_selected	89	21	0.23595505617977527	0.518668956892469	0.7226890756302521	0.1850522210156483	0.1524367343571358	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.4	0.38095238095238093	1.6952380952380954	v1_foldsafe_fusion	reviewer_safe_internal_locked
near_peptide_cluster_holdout	nested_lr_qk_no_anchor_train_selected	89	21	0.23595505617977527	0.5062353933343358	0.6799719887955182	0.2093302307293018	0.18806457758323353	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.35	0.3333333333333333	1.4833333333333332	v1_foldsafe_fusion	reviewer_safe_internal_locked
near_peptide_cluster_holdout	prespecified_rf_qk_quantum_only_w0.5	89	21	0.23595505617977527	0.4999156044384016	0.7282913165266106	0.19170888872686623	0.17538804067123373	0.6	0.14285714285714285	2.5428571428571427	0.8	0.38095238095238093	3.390476190476191	0.55	0.5238095238095238	2.330952380952381	v1_foldsafe_fusion	reviewer_safe_internal_locked
near_peptide_cluster_holdout	prespecified_lr_qk_quantum_only_w0.5	89	21	0.23595505617977527	0.4857779965379982	0.7170868347338936	0.1900887122595002	0.1741402424889817	0.8	0.19047619047619047	3.390476190476191	0.5	0.23809523809523808	2.119047619047619	0.4	0.38095238095238093	1.6952380952380954	v1_foldsafe_fusion	reviewer_safe_internal_locked
