split_name	policy_name	model_name	routed_expert	claim_status	abstention_recommended	n	n_pos	prevalence	AUPRC	AUROC	Brier	ECE	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	top20_precision	recall_at_20	enrichment_at_20
exact_peptide_hla_holdout	selective_ensemble_v2_1_conservative	selective_ensemble_v2_1_conservative	fast_nested_esm2_qk_gate	v2_1_policy_hypothesis_requires_new_external	False	89	21	0.23595505617977527	0.636884934026875	0.759453781512605	0.2261710541951304	0.276521645478337	1.0	0.23809523809523808	4.238095238095238	0.7	0.3333333333333333	2.9666666666666663	0.65	0.6190476190476191	2.7547619047619047
exact_peptide_hla_holdout	selective_ensemble_v2_1_topk	selective_ensemble_v2_1_topk	fast_nested_esm2_qk_gate	v2_1_policy_hypothesis_requires_new_external	False	89	21	0.23595505617977527	0.636884934026875	0.759453781512605	0.2261710541951304	0.276521645478337	1.0	0.23809523809523808	4.238095238095238	0.7	0.3333333333333333	2.9666666666666663	0.65	0.6190476190476191	2.7547619047619047
hla_stratified_group_5fold	selective_ensemble_v2_1_conservative	selective_ensemble_v2_1_conservative	v2_cf_plm_lr	v2_1_policy_hypothesis_requires_new_external	False	89	21	0.23595505617977527	0.5631973069258118	0.7745098039215687	0.2362608840507888	0.22788695739335862	0.8	0.19047619047619047	3.390476190476191	0.5	0.23809523809523808	2.119047619047619	0.5	0.47619047619047616	2.119047619047619
hla_stratified_group_5fold	selective_ensemble_v2_1_topk	selective_ensemble_v2_1_topk	fast_nested_esm2_qk_gate	v2_1_policy_hypothesis_requires_new_external	False	89	21	0.23595505617977527	0.5333274359959118	0.7223389355742296	0.2667074225583097	0.3038769112357079	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.5	0.47619047619047616	2.119047619047619
hla_supertype_heldout	selective_ensemble_v2_1_conservative	selective_ensemble_v2_1_conservative	v2_multimodal_lr	v2_1_policy_hypothesis_requires_new_external	False	72	15	0.20833333333333334	0.5854203140701997	0.8035087719298246	0.20640018705796087	0.21298416344591753	0.6	0.2	2.88	0.6	0.4	2.88	0.5	0.6666666666666666	2.4
hla_supertype_heldout	selective_ensemble_v2_1_topk	selective_ensemble_v2_1_topk	v2_multimodal_lr	v2_1_policy_hypothesis_requires_new_external	False	72	15	0.20833333333333334	0.5854203140701997	0.8035087719298246	0.20640018705796087	0.21298416344591753	0.6	0.2	2.88	0.6	0.4	2.88	0.5	0.6666666666666666	2.4
low_prevalence_stress_split	selective_ensemble_v2_1_conservative	selective_ensemble_v2_1_conservative	v2_multimodal_lr	v2_1_policy_hypothesis_requires_new_external	True	915	41	0.04480874316939891	0.06158674332191541	0.532315677847854	0.5037722311756037	0.5587016267859746	0.2	0.024390243902439025	4.463414634146342	0.1	0.024390243902439025	2.231707317073171	0.1	0.04878048780487805	2.231707317073171
low_prevalence_stress_split	selective_ensemble_v2_1_topk	selective_ensemble_v2_1_topk	v2_multimodal_lr	v2_1_policy_hypothesis_requires_new_external	True	915	41	0.04480874316939891	0.06158674332191541	0.532315677847854	0.5037722311756037	0.5587016267859746	0.2	0.024390243902439025	4.463414634146342	0.1	0.024390243902439025	2.231707317073171	0.1	0.04878048780487805	2.231707317073171
near_peptide_cluster_holdout	selective_ensemble_v2_1_conservative	selective_ensemble_v2_1_conservative	rule_gate_rf_qk_fallback_train_selected	v2_1_policy_hypothesis_requires_new_external	False	89	21	0.23595505617977527	0.518668956892469	0.7226890756302521	0.1850522210156483	0.1524367343571358	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.4	0.38095238095238093	1.6952380952380954
near_peptide_cluster_holdout	selective_ensemble_v2_1_topk	selective_ensemble_v2_1_topk	rule_gate_rf_qk_fallback_train_selected	v2_1_policy_hypothesis_requires_new_external	False	89	21	0.23595505617977527	0.518668956892469	0.7226890756302521	0.1850522210156483	0.1524367343571358	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663	0.4	0.38095238095238093	1.6952380952380954
