split_name	model_name	coverage	top20_precision_after_score_abstention	n_kept
source_heldout_CEDAR	anchor_rf	1.0	0.95	913
source_heldout_CEDAR	anchor_rf	0.8	0.95	731
source_heldout_CEDAR	anchor_rf	0.6	0.95	548
source_heldout_CEDAR	anchor_rf	0.4	0.95	366
source_heldout_CEDAR	anchor_rf	0.25	0.95	229
source_heldout_CEDAR	source_prespecified_rf_qk_compact_w0.5	1.0	0.9	909
source_heldout_CEDAR	source_prespecified_rf_qk_compact_w0.5	0.8	0.9	728
source_heldout_CEDAR	source_prespecified_rf_qk_compact_w0.5	0.6	0.9	546
source_heldout_CEDAR	source_prespecified_rf_qk_compact_w0.5	0.4	0.9	364
source_heldout_CEDAR	source_prespecified_rf_qk_compact_w0.5	0.25	0.9	228
source_heldout_CEDAR	source_qk_compact_gamma1	1.0	0.95	913
source_heldout_CEDAR	source_qk_compact_gamma1	0.8	0.95	731
source_heldout_CEDAR	source_qk_compact_gamma1	0.6	0.95	548
source_heldout_CEDAR	source_qk_compact_gamma1	0.4	0.95	366
source_heldout_CEDAR	source_qk_compact_gamma1	0.25	0.95	229
source_heldout_CEDAR	v2_cf_plm_lr	1.0	1.0	909
source_heldout_CEDAR	v2_cf_plm_lr	0.8	1.0	728
source_heldout_CEDAR	v2_cf_plm_lr	0.6	1.0	546
source_heldout_CEDAR	v2_cf_plm_lr	0.4	1.0	364
source_heldout_CEDAR	v2_cf_plm_lr	0.25	1.0	228
source_heldout_CEDAR	v2_cf_plm_rf	1.0	0.85	909
source_heldout_CEDAR	v2_cf_plm_rf	0.8	0.85	728
source_heldout_CEDAR	v2_cf_plm_rf	0.6	0.85	546
source_heldout_CEDAR	v2_cf_plm_rf	0.4	0.85	364
source_heldout_CEDAR	v2_cf_plm_rf	0.25	0.85	228
source_heldout_CEDAR	v2_cf_plm_rf_hla_ranknorm	1.0	1.0	909
source_heldout_CEDAR	v2_cf_plm_rf_hla_ranknorm	0.8	1.0	728
source_heldout_CEDAR	v2_cf_plm_rf_hla_ranknorm	0.6	1.0	546
source_heldout_CEDAR	v2_cf_plm_rf_hla_ranknorm	0.4	1.0	364
source_heldout_CEDAR	v2_cf_plm_rf_hla_ranknorm	0.25	1.0	228
source_heldout_CEDAR	v2_class_balanced_cf_plm_hgb	1.0	0.95	909
source_heldout_CEDAR	v2_class_balanced_cf_plm_hgb	0.8	0.95	728
source_heldout_CEDAR	v2_class_balanced_cf_plm_hgb	0.6	0.95	546
source_heldout_CEDAR	v2_class_balanced_cf_plm_hgb	0.4	0.95	364
source_heldout_CEDAR	v2_class_balanced_cf_plm_hgb	0.25	0.95	228
source_heldout_CEDAR	v2_counterfactual_hgb	1.0	0.9	909
source_heldout_CEDAR	v2_counterfactual_hgb	0.8	0.9	728
source_heldout_CEDAR	v2_counterfactual_hgb	0.6	0.9	546
source_heldout_CEDAR	v2_counterfactual_hgb	0.4	0.9	364
source_heldout_CEDAR	v2_counterfactual_hgb	0.25	0.9	228
source_heldout_CEDAR	v2_counterfactual_lr	1.0	0.95	909
source_heldout_CEDAR	v2_counterfactual_lr	0.8	0.95	728
source_heldout_CEDAR	v2_counterfactual_lr	0.6	0.95	546
source_heldout_CEDAR	v2_counterfactual_lr	0.4	0.95	364
source_heldout_CEDAR	v2_counterfactual_lr	0.25	0.95	228
source_heldout_CEDAR	v2_counterfactual_lr_hla_ranknorm	1.0	1.0	909
source_heldout_CEDAR	v2_counterfactual_lr_hla_ranknorm	0.8	1.0	728
source_heldout_CEDAR	v2_counterfactual_lr_hla_ranknorm	0.6	1.0	546
source_heldout_CEDAR	v2_counterfactual_lr_hla_ranknorm	0.4	1.0	364
source_heldout_CEDAR	v2_counterfactual_lr_hla_ranknorm	0.25	1.0	228
source_heldout_CEDAR	v2_counterfactual_rf	1.0	0.95	909
source_heldout_CEDAR	v2_counterfactual_rf	0.8	0.95	728
source_heldout_CEDAR	v2_counterfactual_rf	0.6	0.95	546
source_heldout_CEDAR	v2_counterfactual_rf	0.4	0.95	364
source_heldout_CEDAR	v2_counterfactual_rf	0.25	0.95	228
source_heldout_CEDAR	v2_groupdro_proxy_cf_lr	1.0	0.9	909
source_heldout_CEDAR	v2_groupdro_proxy_cf_lr	0.8	0.9	728
source_heldout_CEDAR	v2_groupdro_proxy_cf_lr	0.6	0.9	546
source_heldout_CEDAR	v2_groupdro_proxy_cf_lr	0.4	0.9	364
source_heldout_CEDAR	v2_groupdro_proxy_cf_lr	0.25	0.9	228
source_heldout_CEDAR	v2_multimodal_lr	1.0	1.0	909
source_heldout_CEDAR	v2_multimodal_lr	0.8	1.0	728
source_heldout_CEDAR	v2_multimodal_lr	0.6	1.0	546
source_heldout_CEDAR	v2_multimodal_lr	0.4	1.0	364
source_heldout_CEDAR	v2_multimodal_lr	0.25	1.0	228
source_heldout_CEDAR	v2_multimodal_rf	1.0	0.85	909
source_heldout_CEDAR	v2_multimodal_rf	0.8	0.85	728
source_heldout_CEDAR	v2_multimodal_rf	0.6	0.85	546
source_heldout_CEDAR	v2_multimodal_rf	0.4	0.85	364
source_heldout_CEDAR	v2_multimodal_rf	0.25	0.85	228
source_heldout_CEDAR	v2_plm_lr_frozen_hash_pilot	1.0	1.0	909
source_heldout_CEDAR	v2_plm_lr_frozen_hash_pilot	0.8	1.0	728
source_heldout_CEDAR	v2_plm_lr_frozen_hash_pilot	0.6	1.0	546
