split_name	model_name	AUPRC_ci_low	AUPRC_ci_high	top10_precision_ci_low	top10_precision_ci_high
exact_peptide_hla_holdout	anchor_lr	0.35422282454927084	0.7033712026815709	0.3975	0.9
exact_peptide_hla_holdout	anchor_rf	0.35496487057714093	0.7486034257475475	0.3	0.9024999999999992
exact_peptide_hla_holdout	qk_no_anchor	0.295439721130888	0.6938663447150648	0.1	0.8024999999999992
exact_peptide_hla_holdout	qk_quantum_only	0.29181891535755294	0.6545505851519277	0.1	0.8
hla_stratified_group_5fold	anchor_lr	0.3274006302245589	0.6620075274078332	0.2	0.8
hla_stratified_group_5fold	anchor_rf	0.32546964614809176	0.6996927588966962	0.2	0.9
hla_stratified_group_5fold	qk_no_anchor	0.2914482497992139	0.5833664713392088	0.1	0.8
hla_stratified_group_5fold	qk_quantum_only	0.2883534440780499	0.6578998140041386	0.3	0.8024999999999992
hla_supertype_heldout	anchor_lr	0.28949208185051684	0.6936259596124968	0.2	0.8
hla_supertype_heldout	anchor_rf	0.23142890655359605	0.6681267540435788	0.1975	0.7
hla_supertype_heldout	qk_no_anchor	0.24848000574525383	0.5710148733317757	0.1	0.6024999999999991
hla_supertype_heldout	qk_quantum_only	0.20446394294509565	0.6598930599276992	0.09750000000000002	0.7049999999999983
near_peptide_cluster_holdout	anchor_lr	0.26670917937257066	0.6641764484566792	0.3	0.9
near_peptide_cluster_holdout	anchor_rf	0.2573468627642695	0.6478293533047845	0.2	0.8024999999999992
near_peptide_cluster_holdout	qk_no_anchor	0.20962438422058546	0.5837944317687984	0.1	0.7
near_peptide_cluster_holdout	qk_quantum_only	0.2874738671449388	0.7043571569920034	0.3	0.9
repeated_stratified_5x5_internal	anchor_lr	0.3732668958766207	0.5701675797707106	0.5	1.0
repeated_stratified_5x5_internal	anchor_rf	0.32935762178020045	0.514721727466863	0.2	0.9
repeated_stratified_5x5_internal	qk_no_anchor	0.31202753949467443	0.47958053644217324	0.4	0.9
repeated_stratified_5x5_internal	qk_quantum_only	0.27791091168488846	0.43709637025928594	0.1	0.6
source_heldout_CEDAR	anchor_rf	0.8942901904601033	0.9440750821796121	0.7	1.0
source_heldout_CEDAR	source_qk_compact_gamma1	0.9013989521023319	0.9516603795791398	0.7	1.0
source_heldout_NEPdb	anchor_rf	0.36382181226274374	0.42956942267069476	0.0	0.0
source_heldout_NEPdb	source_qk_compact_gamma1	0.3706735563772629	0.4432863264516007	0.09750000000000002	0.8
source_heldout_TESLA_mmc4	anchor_rf	0.042365842758235156	0.1029089458647116	0.0	0.0
source_heldout_TESLA_mmc4	source_qk_compact_gamma1	0.03753135483293954	0.07639399604541901	0.0	0.0
source_heldout_TESLA_mmc7_validation	anchor_rf	0.014421132457027301	0.09008353517971855	0.0	0.0
source_heldout_TESLA_mmc7_validation	source_qk_compact_gamma1	0.007973038996300275	0.02927983563528578	0.0	0.0
study_heldout	anchor_lr	0.21069444444444443	1.0	0.2222222222222222	0.8888888888888888
study_heldout	anchor_rf	0.2853174603174603	0.9234722222222219	0.2222222222222222	0.7777777777777778
study_heldout	qk_no_anchor	0.12922849209882242	0.3401608981356062	0.0	0.4
study_heldout	qk_quantum_only	0.14463750808833487	0.32313886786495827	0.0	0.3
exact_peptide_hla_holdout	prespecified_rf_qk_no_anchor_w0.5	0.38505933264744946	0.7787731471655914	0.3	1.0
