split_name	model_name	n	n_pos	prevalence	AUPRC	AUROC	Brier	ECE	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10	top20_precision	recall_at_20	enrichment_at_20	model_family	claim_status	runpod_source_file
source_heldout_CEDAR	v2_plm_lr_frozen_hash_pilot	909	851	0.9361936193619362	0.9577452240817368	0.5817496657076866	0.4026241772222872	0.4555428769983237	1.0	0.0058754406580493	1.0681551116333723	1.0	0.0117508813160987	1.0681551116333723	1.0	0.0235017626321974	1.0681551116333723	frozen_plm_pilot	diagnostic	NA
source_heldout_CEDAR	v2_multimodal_lr	909	851	0.9361936193619362	0.9468961495533504	0.5193281737509623	0.5002980006594316	0.541692175436183	1.0	0.0058754406580493	1.0681551116333723	1.0	0.0117508813160987	1.0681551116333723	1.0	0.0235017626321974	1.0681551116333723	multimodal_structure_processing	reviewer_safe_internal_locked	NA
source_heldout_CEDAR	v2_cf_plm_lr	909	851	0.9361936193619362	0.9468769121734296	0.5192471331901616	0.5005691029851667	0.5399969920490494	1.0	0.0058754406580493	1.0681551116333723	1.0	0.0117508813160987	1.0681551116333723	1.0	0.0235017626321974	1.0681551116333723	counterfactual_plm	reviewer_safe_internal_locked	NA
source_heldout_CEDAR	v2_rule_moe_cf_plm_structure	909	851	0.9361936193619362	0.946424861034066	0.522731877304591	0.3276255795198136	0.4865425961305208	1.0	0.0058754406580493	1.0681551116333723	1.0	0.0117508813160987	1.0681551116333723	1.0	0.0235017626321974	1.0681551116333723	mixture_of_experts_prespecified	reviewer_safe_internal_locked	NA
source_heldout_CEDAR	v2_cf_plm_rf_hla_ranknorm	909	851	0.9361936193619362	0.9447268451558474	0.5223266745005876	0.2858690238134463	0.3919256031389709	1.0	0.0058754406580493	1.0681551116333723	1.0	0.0117508813160987	1.0681551116333723	1.0	0.0235017626321974	1.0681551116333723	source_robust_rank_normalization	reviewer_safe_internal_locked	NA
source_heldout_NEPdb	v2_groupdro_proxy_cf_lr	572	151	0.263986013986014	0.281348599458217	0.5116405279136713	0.2872167923191394	0.2346769354491852	0.6	0.0198675496688741	2.272847682119205	0.5	0.0331125827814569	1.8940397350993377	0.45	0.0596026490066225	1.704635761589404	source_robust	reviewer_safe_internal_locked	NA
source_heldout_NEPdb	source_qk_compact_gamma1	886	354	0.3995485327313769	0.4064256547560919	0.4826366764368548	0.4014077667799855	0.4159010735486863	0.4	0.0056497175141242	1.001129943502825	0.4	0.0112994350282485	1.001129943502825	0.4	0.0225988700564971	1.001129943502825	source_qk_fallback	diagnostic	NA
source_heldout_NEPdb	v2_multimodal_lr	572	151	0.263986013986014	0.3052799758230077	0.5339069701593494	0.3425092400249523	0.3272560354737975	0.6	0.0198675496688741	2.272847682119205	0.3	0.0198675496688741	1.1364238410596026	0.4	0.0529801324503311	1.51523178807947	multimodal_structure_processing	reviewer_safe_internal_locked	NA
source_heldout_NEPdb	v2_cf_plm_lr	572	151	0.263986013986014	0.3052656775866391	0.5338755092730962	0.3425558701118874	0.3272797127811175	0.6	0.0198675496688741	2.272847682119205	0.3	0.0198675496688741	1.1364238410596026	0.4	0.0529801324503311	1.51523178807947	counterfactual_plm	reviewer_safe_internal_locked	NA
source_heldout_NEPdb	v2_plm_lr_frozen_hash_pilot	572	151	0.263986013986014	0.2778848978414328	0.525208035110349	0.352900648740238	0.3401856364978515	0.4	0.0132450331125827	1.51523178807947	0.3	0.0198675496688741	1.1364238410596026	0.25	0.0331125827814569	0.9470198675496688	frozen_plm_pilot	diagnostic	NA
