territory_label_set	outcome	scope	n_slides	median_delta	mean_delta	q25_delta	q75_delta	n_positive	sign_test_p	wilcoxon_p
arm_level_expression_cnv	EMT_stress_z	all_cancer_slides	12	0.40569981839197067	0.3623139723378786	0.3140105984734887	0.5532246602628349	10	0.03857421875	0.00927734375
arm_level_expression_cnv	EMT_stress_z	condition_ATC	4	0.3579870293676714	0.33478830185835384	0.16254701433440155	0.5302283168916238	3	0.625	0.25
arm_level_expression_cnv	EMT_stress_z	condition_LPTC	4	0.501345529833464	0.3383185442771241	0.13001409179201262	0.7096499823185756	3	0.625	0.375
arm_level_expression_cnv	EMT_stress_z	condition_PTC	4	0.4166284792099212	0.4138350708781578	0.39094741100317676	0.4395161390849023	4	0.125	0.125
arm_level_expression_cnv	Macrophage_TAM_z	all_cancer_slides	12	0.34555305794628055	0.37982643487563017	0.1408390845751567	0.6545588367836277	10	0.03857421875	0.02685546875
arm_level_expression_cnv	Macrophage_TAM_z	condition_ATC	4	0.6536699708869077	0.544174264742507	0.3659214571569761	0.8319227784724386	3	0.625	0.25
arm_level_expression_cnv	Macrophage_TAM_z	condition_LPTC	4	0.34555305794628055	0.37387291846244275	0.2669555688284474	0.45247040758027585	4	0.125	0.125
arm_level_expression_cnv	Macrophage_TAM_z	condition_PTC	4	0.15241432417780415	0.2214321214219408	-0.06595473385236493	0.4398011794521099	3	0.625	0.625
arm_level_expression_cnv	RAI_thyroid_z	all_cancer_slides	12	0.3531033070007156	0.33671480278819227	0.0002902725791651406	0.5651063873604125	9	0.14599609375	0.02099609375
arm_level_expression_cnv	RAI_thyroid_z	condition_ATC	4	9.554041795789558e-05	0.08122773935869415	-0.0010075121944471688	0.08233079197109922	2	1.0	0.875
arm_level_expression_cnv	RAI_thyroid_z	condition_LPTC	4	0.45572020789316586	0.38262331820936135	0.19806536511753417	0.640278160984993	3	0.625	0.25
arm_level_expression_cnv	RAI_thyroid_z	condition_PTC	4	0.5896081531447095	0.5462933507965213	0.45597885345667954	0.6799226504845514	4	0.125	0.125
arm_level_expression_cnv	TACSTD2_z	all_cancer_slides	12	1.0509824109023111	0.9965931594973972	0.12085698184072025	1.8393412428433926	10	0.03857421875	0.02685546875
arm_level_expression_cnv	TACSTD2_z	condition_ATC	4	0.09479972925340918	0.2496569893595186	0.030606979070392212	0.3138497395425356	3	0.625	0.25
arm_level_expression_cnv	TACSTD2_z	condition_LPTC	4	1.1773938934387034	0.7305732656875396	0.2240196673606103	1.6839474917656327	3	0.625	0.625
arm_level_expression_cnv	TACSTD2_z	condition_PTC	4	1.938978800450759	2.009549223445134	1.5711401013255997	2.3773879225702936	4	0.125	0.125
arm_level_expression_cnv	TLS_B_z	all_cancer_slides	12	0.1761266322843517	0.19369363162034722	-0.031346963999854524	0.34055015861152765	9	0.14599609375	0.30126953125
arm_level_expression_cnv	TLS_B_z	condition_ATC	4	0.21580757501249836	0.28436116413998674	0.1657724410933302	0.33439629805915494	4	0.125	0.125
arm_level_expression_cnv	TLS_B_z	condition_LPTC	4	0.21892220876692922	0.1651760613191961	0.04354811147459767	0.34055015861152765	3	0.625	0.375
arm_level_expression_cnv	TLS_B_z	condition_PTC	4	-0.1767130522447109	0.13154366940185883	-0.5393257681561688	0.49415638531331674	2	1.0	1.0
arm_level_expression_cnv	TROP2_raw	all_cancer_slides	12	4.439618369086073	3.5601569301227087	0.893448014893065	6.396863343682214	10	0.03857421875	0.01220703125
arm_level_expression_cnv	TROP2_raw	condition_ATC	4	0.6792942272689032	1.5581484931102563	0.17651192403201799	2.0609307963471415	3	0.625	0.25
arm_level_expression_cnv	TROP2_raw	condition_LPTC	4	4.138602112197255	2.835926860258132	0.5023063066830369	6.4722226657723505	3	0.625	0.375
arm_level_expression_cnv	TROP2_raw	condition_PTC	4	6.149470885281703	6.286395436999737	4.537373941635482	7.8984923806459575	4	0.125	0.125
arm_level_expression_cnv	Tcell_cytotoxic_z	all_cancer_slides	12	0.08399561593481014	0.47907083709755627	0.033766913156565354	0.38149985770952305	10	0.03857421875	0.04248046875
arm_level_expression_cnv	Tcell_cytotoxic_z	condition_ATC	4	0.4151196608231356	1.2536681629956454	0.19576682366719234	1.4730210001515887	3	0.625	0.375
arm_level_expression_cnv	Tcell_cytotoxic_z	condition_LPTC	4	0.08232020098642312	0.07279012917132768	0.058309952309798255	0.09680037784795256	4	0.125	0.125
arm_level_expression_cnv	Tcell_cytotoxic_z	condition_PTC	4	0.05427942832999521	0.11075421912569555	0.017106511127742946	0.1479271363279478	3	0.625	0.375
gene_bin_infercnv_lite	EMT_stress_z	all_cancer_slides	12	0.3727461915338917	0.36099657147984804	0.2866810844900153	0.5669745165812149	10	0.03857421875	0.01611328125
gene_bin_infercnv_lite	EMT_stress_z	condition_ATC	4	0.2792342957458883	0.3127459251650307	0.09958950248454504	0.49239071842637394	3	0.625	0.375
gene_bin_infercnv_lite	EMT_stress_z	condition_LPTC	4	0.5052138939250651	0.34948728504586285	0.13813760445547585	0.7165635745154522	3	0.625	0.375
gene_bin_infercnv_lite	EMT_stress_z	condition_PTC	4	0.42336745057543107	0.42075650422865085	0.39581607469356406	0.4483078801105179	4	0.125	0.125
gene_bin_infercnv_lite	Macrophage_TAM_z	all_cancer_slides	12	0.3922600588549862	0.40982282984790325	0.19496553713754516	0.7096752330286262	10	0.03857421875	0.02685546875
gene_bin_infercnv_lite	Macrophage_TAM_z	condition_ATC	4	0.7304932654867	0.5820693713968675	0.32615747861565314	0.9864051582679144	3	0.625	0.25
gene_bin_infercnv_lite	Macrophage_TAM_z	condition_LPTC	4	0.3922600588549862	0.4147255922301185	0.33515879458220765	0.47182685650289713	4	0.125	0.125
gene_bin_infercnv_lite	Macrophage_TAM_z	condition_PTC	4	0.16444259768325767	0.23267352591672386	-0.06045626097227963	0.45757238457226107	3	0.625	0.625
gene_bin_infercnv_lite	RAI_thyroid_z	all_cancer_slides	12	0.31422251003672474	0.33374620274165867	0.0012524115488734555	0.583322722810457	10	0.03857421875	0.01611328125
gene_bin_infercnv_lite	RAI_thyroid_z	condition_ATC	4	0.000944993533059435	0.06325092176861091	-0.0011204995596614253	0.06531641486133177	3	0.625	0.625
gene_bin_infercnv_lite	RAI_thyroid_z	condition_LPTC	4	0.45364278601566443	0.38960780685019447	0.18985356063752268	0.6533970322283362	3	0.625	0.25
gene_bin_infercnv_lite	RAI_thyroid_z	condition_PTC	4	0.6022654737999412	0.5483798796061707	0.46404886273707613	0.6865964906690358	4	0.125	0.125
gene_bin_infercnv_lite	TACSTD2_z	all_cancer_slides	12	1.1341544707318805	1.0161794288917525	0.12377424225316758	1.8314116198225523	10	0.03857421875	0.02099609375
gene_bin_infercnv_lite	TACSTD2_z	condition_ATC	4	0.10175158089479303	0.25411999388321094	0.04206282569763986	0.31380874908036416	3	0.625	0.25
gene_bin_infercnv_lite	TACSTD2_z	condition_LPTC	4	1.1684002430106841	0.7539601515732094	0.28674256240373663	1.6356178321801569	3	0.625	0.625
gene_bin_infercnv_lite	TACSTD2_z	condition_PTC	4	1.9670161690863717	2.0404581412188376	1.565096026472156	2.4423782838330537	4	0.125	0.125
gene_bin_infercnv_lite	TLS_B_z	all_cancer_slides	12	0.15287587273916764	0.2013600896472436	0.025306746182860565	0.3337134821195804	9	0.14599609375	0.30126953125
gene_bin_infercnv_lite	TLS_B_z	condition_ATC	4	0.21250915425682093	0.296117566700678	0.13958662238318487	0.3690400985743141	4	0.125	0.125
gene_bin_infercnv_lite	TLS_B_z	condition_LPTC	4	0.225021221502894	0.16745988193952524	0.05876762132283883	0.3337134821195804	3	0.625	0.375
gene_bin_infercnv_lite	TLS_B_z	condition_PTC	4	-0.17445834397773474	0.14050282030152755	-0.5494533700639588	0.5154978463877515	2	1.0	1.0
gene_bin_infercnv_lite	TROP2_raw	all_cancer_slides	12	4.508085055776361	3.6671253609271424	0.8512510996521425	6.424236721630118	10	0.03857421875	0.00927734375
gene_bin_infercnv_lite	TROP2_raw	condition_ATC	4	0.6764943310351157	1.6347372763526908	0.2350919385589722	2.0761396688288345	3	0.625	0.25
