territory_label_set	outcome	n_blocks	obs_beta	obs_r	null_mean_beta	null_sd_beta	block_perm_p_two_sided	n_perm
arm_level_expression_cnv	TACSTD2_z	416	-1.045327187625981	-0.3052376129415688	-0.003608204554782143	0.13129764815808784	0.0024937655860349127	400
arm_level_expression_cnv	TROP2_raw	416	-1.5488908463093238	-0.2125181511115966	-0.019694898413384686	0.29475477645525894	0.0024937655860349127	400
arm_level_expression_cnv	Macrophage_TAM_z	416	0.4228947616117193	0.21137298431707724	-0.0007315264401872557	0.08358601142420335	0.0024937655860349127	400
arm_level_expression_cnv	TLS_B_z	416	0.1991873917676667	0.07863309075024988	0.0016564649379610353	0.10585449537294783	0.06982543640897755	400
arm_level_expression_cnv	Tcell_cytotoxic_z	416	0.8031261476209276	0.26808235910055905	0.008706397442280446	0.1571516488207101	0.0024937655860349127	400
arm_level_expression_cnv	RAI_thyroid_z	416	-0.3058368479986294	-0.21691770747630268	-0.00458100874154782	0.05344269849972344	0.0024937655860349127	400
arm_level_expression_cnv	EMT_stress_z	416	-0.18197350008475927	-0.23630684727641502	0.0017803581475279678	0.029902157828331905	0.0024937655860349127	400
gene_bin_infercnv_lite	TACSTD2_z	416	-1.0029839126393076	-0.29475822751864905	-0.0065941488933754285	0.11747101881499164	0.0024937655860349127	400
gene_bin_infercnv_lite	TROP2_raw	416	-1.502369334619704	-0.20746177664395288	0.021683342963165538	0.2792019969236319	0.0024937655860349127	400
gene_bin_infercnv_lite	Macrophage_TAM_z	416	0.46467043749819026	0.23374825823984152	0.0024251801060083435	0.07904539884326066	0.0024937655860349127	400
gene_bin_infercnv_lite	TLS_B_z	416	0.21687603058193677	0.08616704983157927	0.0012880390789522342	0.10215587958998348	0.029925187032418952	400
gene_bin_infercnv_lite	Tcell_cytotoxic_z	416	0.8365817337229939	0.2810470397701502	-0.003191530692265318	0.15860350002199353	0.0024937655860349127	400
gene_bin_infercnv_lite	RAI_thyroid_z	416	-0.30593083836001284	-0.21838088421375487	0.002169841381244565	0.054087882822746215	0.0024937655860349127	400
gene_bin_infercnv_lite	EMT_stress_z	416	-0.16078620320363401	-0.21013727882439687	-0.0004196449390730123	0.031884236512283566	0.0024937655860349127	400
