territory_label_set	condition	covariate_set	outcome	n	beta_high	pearson_r	p
arm_level_expression_cnv	ATC	qc	TACSTD2_z	11622	0.08503774006796845	0.027282438054284295	0.003267062379296649
arm_level_expression_cnv	ATC	qc	TROP2_raw	11622	0.40172763896324654	0.04485583769851729	1.3140613826657632e-06
arm_level_expression_cnv	ATC	qc	Macrophage_TAM_z	11622	0.32716406309848667	0.09609936922461715	2.9646478542114617e-25
arm_level_expression_cnv	ATC	qc	TLS_B_z	11622	0.13187837169554323	0.05878815473792283	2.2609080416887566e-10
arm_level_expression_cnv	ATC	qc	Tcell_cytotoxic_z	11622	0.22371324165991627	0.04607221381008273	6.732101458812382e-07
arm_level_expression_cnv	ATC	qc	RAI_thyroid_z	11622	-0.0661504046942168	-0.07349654936602404	2.1356749609588432e-15
arm_level_expression_cnv	ATC	qc	EMT_stress_z	11622	-0.09786266251685143	-0.06763662365633742	2.895552452326184e-13
arm_level_expression_cnv	ATC	qc_composition	TACSTD2_z	11622	0.08203551013270631	0.026349265612854986	0.004500331230613066
arm_level_expression_cnv	ATC	qc_composition	TROP2_raw	11622	0.3939685965272202	0.044040491571362445	2.038238032149869e-06
arm_level_expression_cnv	ATC	qc_composition	Macrophage_TAM_z	11622	0.323951341119967	0.09544654235584929	6.213331386064753e-25
arm_level_expression_cnv	ATC	qc_composition	TLS_B_z	11622	0.12983095128980843	0.057962901515777196	4.018742185741493e-10
arm_level_expression_cnv	ATC	qc_composition	Tcell_cytotoxic_z	11622	0.2207123665199652	0.04553128175259646	9.082789716705397e-07
arm_level_expression_cnv	ATC	qc_composition	RAI_thyroid_z	11622	-0.06522493325339744	-0.07274456839636337	4.1005580437790375e-15
arm_level_expression_cnv	ATC	qc_composition	EMT_stress_z	11622	-0.09625011129863874	-0.06714104834256902	4.30642937916393e-13
arm_level_expression_cnv	LPTC	qc	TACSTD2_z	15064	-0.09911324857385846	-0.021799713050252995	0.007457462625644945
arm_level_expression_cnv	LPTC	qc	TROP2_raw	15064	0.1450133448952632	0.01860828452000611	0.022377109496401332
arm_level_expression_cnv	LPTC	qc	Macrophage_TAM_z	15064	0.09718960887956271	0.03957051222413144	1.1845427702672243e-06
arm_level_expression_cnv	LPTC	qc	TLS_B_z	15064	-0.045887126757590324	-0.02833976548597592	0.0005038429972256142
arm_level_expression_cnv	LPTC	qc	Tcell_cytotoxic_z	15064	-0.007253417040711852	-0.006460236917656635	0.4278694133133991
arm_level_expression_cnv	LPTC	qc	RAI_thyroid_z	15064	0.06396581331801668	0.05294112584858136	7.937765903565182e-11
arm_level_expression_cnv	LPTC	qc	EMT_stress_z	15064	-0.005717443218247825	-0.00521410455649249	0.5222331205339349
arm_level_expression_cnv	LPTC	qc_composition	TACSTD2_z	15064	-0.11366958982077069	-0.025035670098201034	0.002119242991591659
arm_level_expression_cnv	LPTC	qc_composition	TROP2_raw	15064	0.11748359100513633	0.015118368412241453	0.06352309315772421
arm_level_expression_cnv	LPTC	qc_composition	Macrophage_TAM_z	15064	0.08946146600561881	0.0363967572856661	7.884977632798649e-06
arm_level_expression_cnv	LPTC	qc_composition	TLS_B_z	15064	-0.045590468237017165	-0.02809395301608031	0.0005636687440307972
arm_level_expression_cnv	LPTC	qc_composition	Tcell_cytotoxic_z	15064	-0.007013478527056233	-0.006232735230036204	0.4443181422939288
arm_level_expression_cnv	LPTC	qc_composition	RAI_thyroid_z	15064	0.06602321577554912	0.05462615717579719	1.9593441563309105e-11
arm_level_expression_cnv	LPTC	qc_composition	EMT_stress_z	15064	-0.008904949863319115	-0.008173021274864106	0.3158351627264291
arm_level_expression_cnv	PTC	qc	TACSTD2_z	16494	-0.20816043305959764	-0.048157902088230425	6.093573626957008e-10
arm_level_expression_cnv	PTC	qc	TROP2_raw	16494	-0.2274062559629782	-0.027775348520278374	0.0003602971817552116
arm_level_expression_cnv	PTC	qc	Macrophage_TAM_z	16494	0.12275041182858995	0.05743558756273197	1.560134476361806e-13
arm_level_expression_cnv	PTC	qc	TLS_B_z	16494	0.022470418009421837	0.009850421967348803	0.20586618588991767
arm_level_expression_cnv	PTC	qc	Tcell_cytotoxic_z	16494	0.04754963272094821	0.0511251729675534	5.039916731638388e-11
arm_level_expression_cnv	PTC	qc	RAI_thyroid_z	16494	0.025683828896737215	0.026173606892811018	0.0007744447442437634
arm_level_expression_cnv	PTC	qc	EMT_stress_z	16494	0.0030389782446940457	0.0036875182139528553	0.6358209239744486
arm_level_expression_cnv	PTC	qc_composition	TACSTD2_z	16494	-0.20776962602555102	-0.04828764630943891	5.4807628048668e-10
arm_level_expression_cnv	PTC	qc_composition	TROP2_raw	16494	-0.22572135747759686	-0.027685176591810388	0.00037655732150848907
arm_level_expression_cnv	PTC	qc_composition	Macrophage_TAM_z	16494	0.12138014252754965	0.05682902996584625	2.7966231245240997e-13
arm_level_expression_cnv	PTC	qc_composition	TLS_B_z	16494	0.02225623479576014	0.009765753509281959	0.20979094153794609
arm_level_expression_cnv	PTC	qc_composition	Tcell_cytotoxic_z	16494	0.047330096092647114	0.050910994872866315	6.062299655375891e-11
arm_level_expression_cnv	PTC	qc_composition	RAI_thyroid_z	16494	0.02652056428394065	0.02705633984320449	0.0005104904744624538
arm_level_expression_cnv	PTC	qc_composition	EMT_stress_z	16494	0.0023407474254696654	0.002867266496013536	0.7127144715287556
gene_bin_infercnv_lite	ATC	qc	TACSTD2_z	11622	0.13719404379972555	0.04146947520165126	7.746412613674825e-06
gene_bin_infercnv_lite	ATC	qc	TROP2_raw	11622	0.668664907318758	0.07034246855392556	3.1528272439028225e-14
gene_bin_infercnv_lite	ATC	qc	Macrophage_TAM_z	11622	0.4002146237462897	0.11075662465728939	4.761987947183291e-33
gene_bin_infercnv_lite	ATC	qc	TLS_B_z	11622	0.17704806232420614	0.0743582644936358	1.0031598546107194e-15
gene_bin_infercnv_lite	ATC	qc	Tcell_cytotoxic_z	11622	0.3401110793145292	0.06599180147758457	1.069377681369821e-12
gene_bin_infercnv_lite	ATC	qc	RAI_thyroid_z	11622	-0.09523770322406379	-0.09969311633104969	4.609836547489364e-27
