territory_label_set	outcome	median_slide_beta	n_positive_slides	n_slides	slide_sign_test_p	slide_wilcoxon_p	condition_positive	n_conditions	block_beta	block_perm_p	loso_sign_changes	min_loso_beta	max_loso_beta	verdict
arm_level_expression_cnv	Macrophage_TAM_z	0.10659997360119912	10	12	0.03857421875	0.01220703125	3	3	0.4228947616117193	0.0024937655860349127	0	0.13929006904221858	0.2175733966824853	survives_strong
arm_level_expression_cnv	TACSTD2_z	0.009815124517384446	7	12	0.7744140625	0.791015625	1	3	-1.045327187625981	0.0024937655860349127	0	-0.48635714559668763	-0.2749439800811989	directionally_inconsistent
arm_level_expression_cnv	TLS_B_z	0.03940584363983701	8	12	0.3876953125	0.38037109375	2	3	0.1991873917676667	0.06982543640897755	0	0.010613322218008741	0.07432942156622965	survives_moderate
arm_level_expression_cnv	TROP2_raw	-0.003486434617625045	6	12	1.0	1.0	2	3	-1.5488908463093238	0.0024937655860349127	0	-0.641267978962785	-0.12711041551051305	fails_or_reverses
arm_level_expression_cnv	Tcell_cytotoxic_z	0.04685857135282054	9	12	0.14599609375	0.06396484375	2	3	0.8031261476209276	0.0024937655860349127	0	0.06529309356741082	0.2264880735813888	survives_moderate
gene_bin_infercnv_lite	Macrophage_TAM_z	0.09163532553244483	10	12	0.03857421875	0.01611328125	3	3	0.46467043749819026	0.0024937655860349127	0	0.15472390032099878	0.24345085936036936	survives_strong
gene_bin_infercnv_lite	TACSTD2_z	0.03685757253417424	7	12	0.7744140625	0.67724609375	1	3	-1.0029839126393076	0.0024937655860349127	0	-0.48572151306557665	-0.27731925599025375	directionally_inconsistent
gene_bin_infercnv_lite	TLS_B_z	0.07995613263290226	10	12	0.03857421875	0.12939453125	2	3	0.21687603058193677	0.029925187032418952	0	0.019490426173483004	0.08289808642810778	survives_moderate
gene_bin_infercnv_lite	TROP2_raw	0.13513194982720272	7	12	0.7744140625	0.5693359375	2	3	-1.502369334619704	0.0024937655860349127	0	-0.5958106760206798	-0.06596327696325378	directionally_inconsistent
gene_bin_infercnv_lite	Tcell_cytotoxic_z	0.06431862608143918	9	12	0.14599609375	0.06396484375	2	3	0.8365817337229939	0.0024937655860349127	0	0.06684988665099359	0.24673050907936808	survives_moderate
