ligand_receptor,cluster_pair,mean,pval
"('TG', 'TPO')","('Epithelial cell', 'Epithelial cell')",4.327496781077199,0.0
"('CLU', 'TYROBP')","('Epithelial cell', 'Myeloid cell')",2.597685152606145,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Myeloid cell')",1.9231891334056854,0.0
"('HLA-DRA', 'LGMN')","('Myeloid cell', 'Epithelial cell')",1.9101198401294426,0.0
"('HLA-DRB1', 'LGMN')","('Myeloid cell', 'Myeloid cell')",1.7911471823851268,0.0
"('HLA-DRB1', 'LGMN')","('Myeloid cell', 'Epithelial cell')",1.778077889108884,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Epithelial cell')",1.704089335892289,0.0
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'Myeloid cell')",1.6594257354736328,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Myeloid cell')",1.6030855278174083,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Epithelial cell')",1.5720473848717305,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'Myeloid cell')",1.5273837844530742,0.0
"('HLA-DQA2', 'LGMN')","('Myeloid cell', 'Myeloid cell')",1.1263154943784077,0.0
"('APOE', 'LRP1')","('Myeloid cell', 'Epithelial cell')",1.116987893591868,0.0
"('HLA-DQA2', 'LGMN')","('Myeloid cell', 'Epithelial cell')",1.113246201102165,0.0
"('CD40LG', 'C3')","('Myeloid cell', 'Myeloid cell')",0.9831892251968384,0.0
"('APOE', 'TYROBP')","('Epithelial cell', 'Myeloid cell')",0.9521093023773781,0.0
"('APOE', 'TYROBP')","('Myeloid cell', 'Epithelial cell')",0.9300655676772592,0.0
"('IL2', 'C3')","('Myeloid cell', 'Myeloid cell')",0.9289706746737162,0.0
"('HLA-DQA2', 'CTSL')","('Myeloid cell', 'Epithelial cell')",0.9072156968650116,0.0
"('CCL5', 'MMP9')","('Myeloid cell', 'Myeloid cell')",0.882478803396225,0.0
"('APOE', 'LDLR')","('Myeloid cell', 'Epithelial cell')",0.8822574255038321,0.0
"('CCL19', 'CXCR6')","('Myeloid cell', 'Myeloid cell')",0.876161793867747,0.0
"('CCL19', 'CCR7')","('Myeloid cell', 'Myeloid cell')",0.8711826999982197,0.0
"('HLA-DQA2', 'CTSL')","('Myeloid cell', 'Myeloid cell')",0.8625520964463551,0.0
"('CCL5', 'CXCL12')","('Myeloid cell', 'Myeloid cell')",0.8442306518554688,0.0
"('IL2', 'HSP90AA1')","('Myeloid cell', 'Epithelial cell')",0.8416446882219797,0.0
"('CCL5', 'ACKR1')","('Myeloid cell', 'Myeloid cell')",0.8306277493635814,0.0
"('IL6', 'TSHR')","('Myeloid cell', 'Epithelial cell')",0.7783163735167915,0.0
"('IL6', 'DCN')","('Myeloid cell', 'Epithelial cell')",0.7688323113958813,0.0
"('CXCL12', 'MMP9')","('Myeloid cell', 'Myeloid cell')",0.7325787047545115,0.0
