cluster_1,,Epithelial cell,Epithelial cell,Myeloid cell,Myeloid cell
cluster_2,,Epithelial cell,Myeloid cell,Epithelial cell,Myeloid cell
source,target,,,,
DCN,KDR,0.6889651761655774,0.0,0.6004523230159272,0.0
GREM1,KDR,0.04470838724067541,0.0,0.1646506679618348,0.0
APOE,LDLR,0.23128120006380204,0.0,0.8822574255038321,0.0
MDK,LRP1,0.42527590685796124,0.4362026307250725,0.3678891654914093,0.3788158893585205
DLK1,NOTCH3,0.0,0.0,0.0,0.0
DLL4,NOTCH3,0.140713908350373,0.15887365619087263,0.0,0.0
DLL1,NOTCH4,0.05572594002888777,0.0,0.0,0.0
JAG1,NOTCH4,0.12598454751672727,0.0,0.0,0.0
DLK1,NOTCH4,0.0,0.0,0.0,0.0
TNFSF14,TNFRSF6B,0.015198760770346776,0.0,0.0,0.0
SCT,RAMP2,0.1818910439655724,0.24533398589708413,0.0,0.0
SCT,RAMP3,0.12202939660751178,0.18032132229425515,0.0,0.0
SCT,TSHR,0.676485082806998,0.11451483409820007,0.0,0.0
COMP,CD36,0.12452008885258294,0.22854693504349033,0.0,0.0
CCL2,ACKR4,0.017645368285128634,0.0,0.0,0.0
CCL13,ACKR4,0.0024383977805210863,0.0,0.0,0.0
CXCL6,ACKR1,0.0,0.0,0.0,0.0
CEACAM6,STAB1,0.0,0.0,0.0,0.0
THBS1,ITGA6,0.054555401617015026,0.0,0.0,0.0
THBS1,CD36,0.13852890547683885,0.24255575166774623,0.0,0.0
VWF,SCARA5,0.2926919473284183,0.0,0.6308307723821999,0.0
FGF7,FGFR4,0.025667252139059297,0.0,0.0,0.0
PTH2,TSHR,0.0,0.0,0.0,0.0
TFF2,MUC6,0.0,0.0,0.0,0.0
TFF1,MUC5AC,0.0,0.0,0.0,0.0
S100A1,RYR2,0.21291229248191545,0.0,0.0,0.0
SCGB3A1,MARCO,0.013772139738380434,0.0,0.0,0.0
ANGPTL4,GPIHBP1,0.024768688718460347,0.0,0.0,0.0
ANGPTL4,TIE1,0.07622552888643815,0.0,0.0,0.0
IGF1,INSR,0.12290147887600383,0.18818875668867963,0.0,0.0
PCSK9,LDLR,0.0,0.0,0.0,0.0
CXCL11,ACKR1,0.023886941419380067,0.33424811675447547,0.0,0.0
ANGPT2,TIE1,0.06919819114619614,0.0,0.0,0.0
CALCA,TSHR,0.0,0.0,0.0,0.0
THBS2,NOTCH4,0.05395228418358006,0.0,0.0,0.0
THBS2,ITGA6,0.05026205225345422,0.0,0.0,0.0
THBS2,CD36,0.13423555611327803,0.2382624023041854,0.0,0.0
S100A8,CD36,0.11947086173958833,0.2234977079304957,0.17521009633877097,0.27923694252967834
S100A12,CD36,0.11566463690201792,0.2196914830929253,0.0,0.0
S100A9,CD36,0.12335507236651268,0.22738191855742004,0.26801014234560944,0.3720369885365168
CALCB,TSHR,0.6572548560568009,0.09528460734800298,0.0,0.0
MDK,ITGA6,0.2024973546206583,0.0,0.14511061325410635,0.0
ADM,TSHR,0.6671006373225958,0.10513038861379795,0.0,0.0
CGA,RAMP3,0.0,0.0,0.0,0.0
CXCL8,CD79A,0.021156399140080204,0.13023741166927985,0.0,0.0
PTH2,RAMP3,0.0,0.0,0.0,0.0
APOE,LRP1,0.466011668151838,0.47693839201894916,1.116987893591868,1.1279146174589794
PCSK9,LRP1,0.0,0.0,0.0,0.0
THBS1,LRP1,0.27733395385431797,0.28826067772142916,0.0,0.0
VWF,LRP1,0.49991208141618665,0.5108388052832978,0.8380509064699682,0.8489776303370793
CGA,RAMP2,0.0,0.0,0.0,0.0
CCL11,ACKR4,0.0,0.0,0.0,0.0
CCL7,ACKR4,0.0,0.0,0.0,0.0
CCL8,ACKR4,0.0017398292131373446,0.0,0.0,0.0
S100A9,CD68,0.03601049563115083,0.20310463381601837,0.1806655656102476,0.3477597037951151
S100A8,CD68,0.032126285004226485,0.19922042318909403,0.08786551960340912,0.2549596577882767
PTH2,RAMP2,0.0,0.0,0.0,0.0
TNF,FLT4,0.02914481869481984,0.1200165787854767,0.0,0.0
THBS2,NOTCH3,0.14743517991566385,0.16559492775616347,0.0,0.0
SCGB3A1,NOTCH3,0.14188471804097597,0.16004446588147558,0.0,0.0
CXCL8,KDR,0.059083541699036596,0.0,0.0,0.0
CXCL9,FCGR2A,0.018765997657813754,0.09800120352138032,0.0,0.0
VEGFD,FLT1,0.07762028884869282,0.0,0.0,0.0
TNF,ICOS,0.00196196630741786,0.0,0.0,0.0
IL6,F3,0.11722064995768317,0.12281607207821621,0.23892238107160563,0.24451780319213867
CXCL12,CCR4,0.0,0.0,0.0,0.0
CCL3,CCR4,0.0,0.0,0.0,0.0
PTN,PTPRB,0.10014474216687501,0.0,0.0,0.0
CCL8,ACKR1,0.024214681353015594,0.334575856688111,0.0,0.0
EDN1,ADGRL4,0.03209714423486961,0.0,0.0,0.0
MDK,TSPAN1,0.6610438661569268,0.2306039932634102,0.6036571247903748,0.17321725189685822
CCL1,ACKR1,0.0,0.0,0.0,0.0
IGF1,ITGA6,0.04653648170991903,0.0,0.0,0.0
CCL18,ACKR1,0.024802189678716533,0.33516336501381194,0.17567286034758284,0.4860340356826782
CXCL3,ACKR1,0.02616221342640226,0.3365233887614977,0.0,0.0
CXCL5,ACKR1,0.0,0.0,0.0,0.0
CXCL9,ACKR1,0.027115179089350922,0.33747635442444635,0.0,0.0
CXCL10,ACKR1,0.02427266764356726,0.33463384297866267,0.14546010037596419,0.45582127571105957
CXCL13,ACKR1,0.0,0.0,0.0,0.0
CCL7,ACKR1,0.0,0.0,0.0,0.0
SPP1,ITGB6,0.021487061463671242,0.0,0.15503160111446104,0.0
ANGPTL4,CDH5,0.08614869658742347,0.0,0.0,0.0
ANGPTL4,CDH11,0.0419968320623974,0.0,0.0,0.0
SLC1A2,GRIA1,0.0010379704877747336,0.0,0.0,0.0
SLC1A6,GRIA1,0.0,0.0,0.0,0.0
APOE,TYROBP,0.27908934223722903,0.9521093023773781,0.9300655676772592,1.6030855278174083
CCL20,ACKR4,0.0009771653295668058,0.0,0.0,0.0
FAM3D,FPR2,0.0,0.0,0.0,0.0
HLA-G,KLRD1,0.002077279278691217,0.0,0.0,0.0
FGFR4,MCAM,0.0560577433072984,0.0,0.0,0.0
LAIR2,FGFR4,0.0014779191506929558,0.0,0.0,0.0
IL2,DLK1,0.0,0.0,0.0,0.0
TNFSF9,FCRL1,0.0,0.0,0.0,0.0
DCN,LRP1,0.9009169389552125,0.9118436628223237,0.8124040858055623,0.8233308096726735
IFNG,MPL,0.0003638072802446,0.0,0.0,0.0
TPO,MPL,1.524244390829201,0.0,0.38915091631569626,0.0
HAPLN1,IL1RL1,0.0,0.0,0.0,0.0
SEMA3G,FCGR2A,0.03066009786785543,0.109895303731422,0.0,0.0
VCAM1,VCAM1,0.019659258208228548,0.13208853070018362,0.13208853070018362,0.24451780319213867
CCL5,ACKR4,0.030547008648291164,0.0,0.4977917218886077,0.0
FLT4,FCRL1,0.0,0.0,0.0,0.0
CRLF1,LIFR,0.16143234057347014,0.0,0.0,0.0
PCSK9,CD36,0.0,0.0,0.0,0.0
THBS1,GP9,0.02316629671921587,0.0,0.0,0.0
EFNB2,FCRL1,0.0,0.0,0.0,0.0
VCAN,LDLR,0.03697140904148384,0.0,0.141871962663434,0.0
CEACAM5,CEACAM6,0.0,0.0,0.0,0.0
CEACAM6,CEACAM5,0.0,0.0,0.0,0.0
CCN1,ITGA6,0.659129272863624,0.0,0.2822647553159756,0.0
CCL3L1,CCR4,0.0,0.0,0.0,0.0
CTSG,CXCL12,0.11605456519119,0.3474104782787271,0.0,0.0
KDR,FLT1,0.1191442773594387,0.0,0.0,0.0
KDR,CDH5,0.11037979844138882,0.0,0.0,0.0
CXCL8,MMP9,0.02054176266516402,0.402105203480905,0.0,0.0
CCL22,CCR7,0.0032099516896263018,0.11401796507095373,0.0,0.0
FLT4,KDR,0.07004473648064449,0.0,0.16091649657130136,0.0
KDR,FLT4,0.07004473648064449,0.16091649657130136,0.0,0.0
THBS1,MMP2,0.161938726921736,0.2639755003316485,0.0,0.0
NPPA,MME,0.007260219913242353,0.0,0.0,0.0
THBS1,MMP9,0.026840412030810293,0.40840385284655123,0.0,0.0
SFTPA1,SFTPA2,0.0,0.0,0.0,0.0
KDR,PLCG2,0.05390244847309873,0.3136462164485444,0.0,0.0
IFNG,TNF,0.001717304759917802,0.0,0.0,0.0
PRSS3,F2RL3,0.0,0.0,0.0,0.0
CSF1,TNF,0.035170373716453276,0.0,0.061163464140790325,0.0
KDR,HSP90AA1,0.7726757159129456,0.48040836975614126,0.0,0.0
THBS1,ELANE,0.0248057946845534,0.0,0.0,0.0
AREG,MMP9,0.005621626716689104,0.38718506753243004,0.0,0.0
IL1RN,IL2RA,0.018143970683703672,0.0,0.0,0.0
CCL1,ACKR4,0.0,0.0,0.0,0.0
