pair	n1	n2	p	q_bh
Id vs ID	11	10	0.9719131339533064	0.9719131339533064
Id vs iDF	11	9	0.32332000913391523	0.48498001370087285
Id vs iDG	11	18	0.21644626728745286	0.6493388018623586
ID vs iDF	10	9	0.2703441406547801	0.5406882813095601
ID vs iDG	10	18	0.20387890703693257	1.0
iDF vs iDG	9	18	0.8169613217153913	0.9803535860584696
