sheet_name	rows	columns	column_names	unit_of_analysis	contains_patient_id	contains_sample_id	contains_gene_symbols	contains_sample_level_values	contains_RAI_labels	contains_TDS	contains_tumour_purity
Description	25	3	Additional file No.; Title & Description; Relate to	other	False	False	False	False	False	False	False
1-1	9769	6	UniProt accession; Gene symbol; Protein description; Alias; Missing ratio (%); Included in the final profile	gene/protein	False	False	True	False	False	False	False
1-2	11	3	Threshold of NA value; Protein number; Missing ratio	gene/protein	False	False	True	False	False	False	False
2-1	7394	9	Gene symbol; logFC; AveExpr; t; P.Value; adj.P.Val; B; abslogFC; P value in GSE155179	gene/protein	False	False	True	False	False	False	False
2-2	1489	8	Pathway; Gene set; ES; NES; pvalue; FDR; FWER; absNES	pathway/gene set	False	False	False	False	False	False	False
2-3	1733	50	Gene set; Pathway; b1_1_1; b1_1_4; b1_1_7; b1_1_8; b1_1_10; b1_1_13; b2_2_1; b2_2_3 ...	sample	False	True	False	True	False	False	False
2-4	7394	6	Protein; Id; ID; iDF; P value; adj. P value	gene/protein	False	False	True	False	False	False	False
2-5	403	8	Protein; 1; 2; 3; 4; 5; 6; protein_cluster	gene/protein	False	False	True	False	False	False	False
2-6	322	29	_MEMBER_MyList; _LogP_MyList; GO; _PATTERN_; _RANK_; GiniIndex; Category; CategoryID; Description; PARENT_GO ...	other	False	False	False	False	False	False	False
2-7	471	5	Ingenuity Canonical Pathways;  -log(p-value); Ratio; z-score; Molecules	pathway/gene set	False	False	False	False	False	False	False
3-1	7394	8	Gene symbol; logFC; AveExpr; t; P.Value; adj.P.Val; B; abslogFC	gene/protein	False	False	True	False	False	False	False
3-2	1489	8	Gene set; Pathway; ES; NES; pvalue; FDR; FWER; absNES	pathway/gene set	False	False	False	False	False	False	False
3-3	1733	21	Gene set; Pathway; b1_1_4; b1_1_8; b2_2_3; b3_3_2; b4_4_2; b4_4_3; b4_4_7; b5_5_10 ...	sample	False	True	False	True	False	False	False
4-1	7394	8	Gene symbol; logFC; AveExpr; t; P.Value; adj.P.Val; B; abslogFC	gene/protein	False	False	True	False	False	False	False
4-2	1489	8	Gene set; Pathway; ES; NES; pvalue; FDR; FWER; absNES	pathway/gene set	False	False	False	False	False	False	False
4-3	1733	23	Gene set; Pathway; b1_1_4; b1_1_8; b2_2_1; b2_2_3; b2_2_13; b3_3_2; b4_4_2; b4_4_3 ...	sample	False	True	False	True	False	False	False
5-1	7394	72	probes; moduleColor; GS.BRAF; p.GS.BRAF; GS.RET; p.GS.RET; GS.TERTp; p.GS.TERTp; GS.TP53; p.GS.TP53 ...	other	False	False	False	False	False	False	False
5-2	2128	14	LASSO; Dependent variables; Gene; β value; Unnamed: 4; Random forest; Dependent variables.1; Select features; Unnamed: 8; SVM-RFE ...	other	False	False	False	False	False	False	False
5-3	7394	8	Gene symbol; logFC; AveExpr; t; P.Value; adj.P.Val; B; abslogFC	gene/protein	False	False	True	False	False	False	False
5-4	249	29	_MEMBER_MyList; _LogP_MyList; GO; _PATTERN_; _RANK_; GiniIndex; Category; CategoryID; Description; PARENT_GO ...	other	False	False	False	False	False	False	False
5-5	470	5	Ingenuity Canonical Pathways;  -log(p-value); Ratio; z-score; Molecules	pathway/gene set	False	False	False	False	False	False	False
6-1	73	33	Patient ID; Sample ID for primary lesion in proteomic; Sex; Age at diagnosis; Symptomatic/Incidental diagnosis; Histopathological type; Histopathological subtype; Tumor size (cm); Tumor site; Laterality ...	sample	True	True	False	False	True	False	False
7-1	206	13	Sample ID; Tumor purity; Sequencing depth; Coverage; Type; Tier; Gene symbol; Exon; HGVSc; HGVSp ...	sample	False	True	True	False	False	False	True
8-1	48	69	Sample; CIBERSORTx; B cells naive; B cells memory; Plasma cells; T cells CD8; T cells CD4 naive; T cells CD4 memory resting; T cells CD4 memory activated; T cells follicular helper ...	sample	False	True	False	False	False	True	True
8-2	168	6	NAME; Group; StromalScore; ImmuneScore; ESTIMATEScore; TumorPurity	other	False	False	False	False	False	False	True
9-1	141	6	Scoring system; UniProtKB AC/ID; Official gene symbol; Gene description; Note; Identified in the current analysis	gene/protein	False	False	True	False	False	False	False
