cohort	contrast	endpoint	n	events	HR	ci_lo	ci_hi	p	primary_var	note
Lee2024_GSE213647_Korean_n632	DM1xTERT	(none)	0	0					(skipped)	GSE213647 series_matrix Sample_characteristics_ch1 'genotype: NA' for all 632; Lee2024_MOESM5.xlsx supp = metabolomics+DEG only; no TERT/BRAF call file released. No survival in GEO.
Landa_GSE76039_PDTC+ATC	DM1_bin alone	OS	35	29	5.116797233425316	2.2282282181997615	11.749969645901762	0.00011863638412476058	DM1_bin	
Landa_GSE76039_PDTC+ATC	TERT alone	OS	35	29	2.30213903364635	1.0739698724380204	4.9348163912707985	0.03208087304157031	TERT	
Landa_GSE76039_PDTC+ATC	DM1xTERT interaction (with main effects)	OS	35	29	9.856216170185874	1.5072174646836092	64.45320563866072	0.01693241196584569	DM1xTERT	
Landa_GSE76039_PDTC+ATC	DM1xTERT adj is_ATC+AGE	OS	35	29	6.717051677072193	0.9628339536435646	46.86039899374079	0.05463726864770808	DM1xTERT	
Landa_GSE76039_PDTC+ATC	DM1+/TERT+ comutant vs others	OS	35	29	12.778079696323875	4.170886776263603	39.14738747041094	8.194798600770235e-06	comutant	
Landa_GSE76039_PDTC+ATC	DM1+/TERT+ comutant adj is_ATC+AGE	OS	35	29	3.9606558402681413	0.9251091810982507	16.956695496662817	0.06358898806277656	comutant	
TCGA-THCA_full_primary	DM1xTERT (full cohort, no driver covar)	PFI	513	54	3.4361828593199677	0.6326452589095567	18.663464993060725	0.15281065830731452	DM1xTERT	
TCGA-THCA_full_primary	DM1xTERT adj driver+age+stage+sex	PFI	459	27	8.629720092921103	1.1876899050461236	62.70329365077336	0.033175028076473136	DM1xTERT	
TCGA-THCA_full_primary	DM1+/TERT+ comutant adj driver+age+stage+sex	PFI	459	27	1.223832230150714e-06	6.572203921309981e-11	0.022789392196113315	0.0066521167646185885	comutant	
TCGA-THCA_full_primary	DM1xTERT (full cohort, no driver covar)	OS	513	16	12.754145365750174	1.5528721022433307	104.75313696194988	0.017807312136766933	DM1xTERT	
TCGA-THCA_full_primary	DM1xTERT adj driver+age+stage+sex	OS	459	13	54.78765696964604	4.652515668998268	645.1751202527162	0.001463326543970912	DM1xTERT	
TCGA-THCA_full_primary	DM1+/TERT+ comutant adj driver+age+stage+sex	OS	459	13	39.22062604699082	6.7448755471135815	228.06314168037994	4.405626341085521e-05	comutant	
TCGA-THCA_full_primary	DM1xTERT (full cohort, no driver covar)	DSS	507	7	28.443543848638356	2.1675199699799745	373.25385596188414	0.010805413779348755	DM1xTERT	
TCGA-THCA_full_primary	DM1xTERT adj driver+age+stage+sex	DSS	454	5	60.04288451163505	3.004619330730237	1199.8684637369208	0.007363579415857348	DM1xTERT	
TCGA-THCA_full_primary	DM1+/TERT+ comutant adj driver+age+stage+sex	DSS	454	5	72.7497655366971	8.915197576945456	593.652394124252	6.266471597150328e-05	comutant	
TCGA-THCA_BRAF_like_only	DM1xTERT (per-driver stratum)	PFI	392	43	4.7652838900358025	0.783095599518829	28.99764800949919	0.09015160002658992	DM1xTERT	
TCGA-THCA_BRAF_like_only	DM1xTERT (per-driver stratum)	OS	392	14	9.088800182756746	1.0247426976424985	80.61173692881282	0.04748904970723556	DM1xTERT	
TCGA-THCA_BRAF_like_only	DM1xTERT (per-driver stratum)	DSS	386	6	21.720308838787812	1.3878353762984692	339.93355704089237	0.028270655024861018	DM1xTERT	
TCGA-THCA_RAS_like_only	DM1xTERT (per-driver stratum)	PFI	111	9					DM1xTERT	primary_var_no_variance
TCGA-THCA_RAS_like_only	DM1xTERT (per-driver stratum)	OS	111	1					DM1xTERT	too_few_events_or_n (events=1, n=111)
TCGA-THCA_RAS_like_only	DM1xTERT (per-driver stratum)	DSS	111	0					DM1xTERT	too_few_events_or_n (events=0, n=111)
TCGA-THCA_NBNR_only	DM1xTERT (per-driver stratum)	PFI	0	0					DM1xTERT	too_few_events_or_n (events=0, n=0)
TCGA-THCA_NBNR_only	DM1xTERT (per-driver stratum)	OS	0	0					DM1xTERT	too_few_events_or_n (events=0, n=0)
TCGA-THCA_NBNR_only	DM1xTERT (per-driver stratum)	DSS	0	0					DM1xTERT	too_few_events_or_n (events=0, n=0)
