gene	n_high	n_low	mean_eff_high	mean_eff_low	delta	cohens_d	p
MYC	372	394	-2.1005636487968995	-1.7250273165825576	-0.3755363322143419	-0.4986620405165251	1.002341004035421e-11
NAMPT	372	394	-0.5595902165002021	-0.365201149406058	-0.1943890670941441	-0.44547447789824046	1.525877592291053e-09
JAK2	372	394	0.11224495849923717	0.1468169955290173	-0.03457203702978014	-0.20832015528970904	0.004408536737359537
TSHR	372	394	0.10177066172638997	0.12104912404516471	-0.01927846231877474	-0.1949857831584538	0.007211520090008708
SRC	372	394	-0.1310732638810595	-0.1094695876840506	-0.021603676197008898	-0.1183275932528161	0.10270326648008472
HHEX	372	394	-0.07178694819299412	-0.0607375408846752	-0.011049407308318923	-0.0645929428280629	0.3738729859646049
KCNN4	372	394	-0.004565755375121586	-0.0022243875392575197	-0.0023413678358640663	-0.020553775068722042	0.7766534715563533
LYN	372	394	0.05018889481816597	0.048219491412041966	0.001969403406124004	0.015213507626338663	0.8335335074700885
FYN	372	394	0.017145015774200845	0.014727050946234384	0.002417964827966461	0.019790195905732118	0.7843743877936264
EZH2	372	394	-0.027639737930888583	-0.03469996057943208	0.007060222648543498	0.028607011917325578	0.6921581684083152
SLC5A5	372	394	-0.16664811290443848	-0.1709957315762371	0.004347618671798614	0.034981424419847106	0.6285140979642411
DIO1	372	394	0.032327170789842	0.027361656344506335	0.004965514445335665	0.04245726729538817	0.5575951385062571
TG	372	394	0.02266579537461483	0.013596834635557432	0.0090689607390574	0.07637893567460297	0.29249389342207865
TPO	372	394	-0.005802305004231359	-0.01606038931466476	0.010258084310433402	0.090062942655845	0.2137043414460175
FOXE1	372	394	-0.02519888041031929	-0.04294619928685489	0.017747318876535603	0.11624143295340127	0.10874079421531761
FOXE1	372	394	-0.02519888041031929	-0.04294619928685489	0.017747318876535603	0.11624143295340127	0.10874079421531761
DNMT1	372	394	-0.5812332666188944	-0.6092449057920247	0.02801163917313032	0.1318615309762659	0.06919441426707329
STAT3	372	394	-0.08120192230890134	-0.10480519189635523	0.023603269587453887	0.14099815757093548	0.05090791583762704
TACSTD2	372	394	-0.08811436101568512	-0.11331306195727635	0.025198700941591226	0.17873398336117724	0.013547529308336494
JAK1	372	394	-0.027956086582790505	-0.0694022056906736	0.041446119107883095	0.1978884755494815	0.006273172414704859
NKX2-1	372	394	-0.005084040042556628	-0.056654381924578896	0.051570341882022266	0.26222219792688495	0.0002796949904983345
NKX2-1	372	394	-0.005084040042556628	-0.056654381924578896	0.051570341882022266	0.26222219792688495	0.0002796949904983345
PAX8	372	394	-0.1267781137544578	-0.28386334940238095	0.15708523564792315	0.42212838999567925	6.553384230562656e-09
PAX8	372	394	-0.1267781137544578	-0.28386334940238095	0.15708523564792315	0.42212838999567925	6.553384230562656e-09
