gene	lineage	n	median_effect	pct_essential
LYN	Biliary Tract	34	0.0842494802474054	0.0
LYN	Bladder/Urinary Tract	34	0.055013283688638046	0.0
LYN	Bowel	63	0.0915974647821121	0.0
LYN	Breast	53	0.0207606276220226	0.0
LYN	CNS/Brain	91	0.0421998541826445	0.0
LYN	Cervix	18	0.04926092069784055	0.0
LYN	Esophagus/Stomach	69	0.0492874150340891	0.0
LYN	Eye	15	0.0701419177506296	0.0
LYN	Head and Neck	77	0.0763783469988217	0.0
LYN	Kidney	35	0.0496345472358717	0.0
LYN	Liver	25	0.0407870436401484	0.0
LYN	Lung	126	0.05280477563173605	0.0
LYN	Lymphoid	96	0.0386710269191003	0.052083333333333336
LYN	Myeloid	45	0.0312958401433104	0.022222222222222223
LYN	Ovary/Fallopian Tube	59	0.0309847997998927	0.0
LYN	Pancreas	48	0.052166026706185545	0.0
LYN	Peripheral Nervous System	47	0.0639080464835896	0.0
LYN	Pleura	21	0.0910920786061124	0.0
LYN	Prostate	10	0.054958823076912355	0.0
LYN	Skin	75	0.053061752942006	0.0
LYN	Soft Tissue	49	0.0753044311686608	0.0
LYN	Testis	5	-0.0062982681390569	0.0
LYN	Thyroid	11	0.0543543432107106	0.0
LYN	Uterus	34	0.0702461757812365	0.0
NAMPT	Biliary Tract	34	-0.3743995481937009	0.38235294117647056
NAMPT	Bladder/Urinary Tract	34	-0.21840149600618158	0.23529411764705882
NAMPT	Bowel	63	-0.5822953885742729	0.6031746031746031
NAMPT	Breast	53	-0.6601675754143899	0.6226415094339622
NAMPT	CNS/Brain	91	-0.2331335416073652	0.10989010989010989
NAMPT	Cervix	18	-0.28399706016838866	0.2222222222222222
NAMPT	Esophagus/Stomach	69	-0.4070482703402755	0.4492753623188406
NAMPT	Eye	15	-0.2818412560902219	0.13333333333333333
NAMPT	Head and Neck	77	-0.2457075579010556	0.1038961038961039
NAMPT	Kidney	35	-0.2552187294517153	0.05714285714285714
NAMPT	Liver	25	-0.1864741237533608	0.0
NAMPT	Lung	126	-0.3270604328987837	0.31746031746031744
NAMPT	Lymphoid	96	-1.0821222738134473	0.90625
NAMPT	Myeloid	45	-1.0479116141794094	0.9111111111111111
NAMPT	Ovary/Fallopian Tube	59	-0.2997416375158105	0.3220338983050847
NAMPT	Pancreas	48	-0.3354855322557355	0.2916666666666667
NAMPT	Peripheral Nervous System	47	-0.2581957618382358	0.19148936170212766
NAMPT	Pleura	21	-0.2029782333099316	0.14285714285714285
NAMPT	Prostate	10	-0.400262222524166	0.4
NAMPT	Skin	75	-0.2478510834240972	0.14666666666666667
NAMPT	Soft Tissue	49	-0.2297362714362533	0.14285714285714285
NAMPT	Testis	5	-0.2601712431271088	0.0
NAMPT	Thyroid	11	-0.2861943317117165	0.0
NAMPT	Uterus	34	-0.29076923375816804	0.23529411764705882
TACSTD2	Biliary Tract	34	-0.0756149621346229	0.0
TACSTD2	Bladder/Urinary Tract	34	-0.11215911755965835	0.029411764705882353
TACSTD2	Bowel	63	-0.0894565367329683	0.031746031746031744
TACSTD2	Breast	53	-0.1063706791837718	0.0
TACSTD2	CNS/Brain	91	-0.1455475542837594	0.0
TACSTD2	Cervix	18	-0.0676666628347604	0.0
TACSTD2	Esophagus/Stomach	69	-0.0800490313600662	0.0
TACSTD2	Eye	15	-0.0119241757837356	0.0
TACSTD2	Head and Neck	77	-0.0711876680224855	0.0
TACSTD2	Kidney	35	-0.0988568575438671	0.02857142857142857
TACSTD2	Liver	25	-0.0813883828084628	0.0
TACSTD2	Lung	126	-0.1133322251506055	0.0
TACSTD2	Lymphoid	96	-0.06929187316699806	0.010416666666666666
TACSTD2	Myeloid	45	-0.0335502292704298	0.0
TACSTD2	Ovary/Fallopian Tube	59	-0.1315233606676383	0.05084745762711865
TACSTD2	Pancreas	48	-0.09839550443093384	0.0
TACSTD2	Peripheral Nervous System	47	-0.1196083375810792	0.0
TACSTD2	Pleura	21	-0.1242423732090585	0.0
TACSTD2	Prostate	10	-0.08459505423704215	0.0
TACSTD2	Skin	75	-0.060471081642007	0.013333333333333334
TACSTD2	Soft Tissue	49	-0.1013941415310316	0.0
TACSTD2	Testis	5	-0.0030604682307814	0.0
TACSTD2	Thyroid	11	-0.1150884266472207	0.0
TACSTD2	Uterus	34	-0.08614877876846815	0.0
KCNN4	Biliary Tract	34	-0.0017762066853113001	0.0
KCNN4	Bladder/Urinary Tract	34	-0.013101817420630699	0.0
KCNN4	Bowel	63	-0.0379626823909556	0.0
KCNN4	Breast	53	-0.0174029019856251	0.0
KCNN4	CNS/Brain	91	0.0095896563770959	0.0
KCNN4	Cervix	18	-0.012513920957712449	0.0
KCNN4	Esophagus/Stomach	69	-0.0114593447508044	0.0
KCNN4	Eye	15	-0.0459487884358617	0.0
KCNN4	Head and Neck	77	-0.0020677771357468	0.0
KCNN4	Kidney	35	0.0287362015014476	0.0
KCNN4	Liver	25	0.0151778033095027	0.0
KCNN4	Lung	126	-0.00359699722456485	0.007936507936507936
