class	n_genes	dge_mean_log2_dm1_up	dge_mean_t	ccle_n_measured	ccle_mean_r	cox_n	cox_mean_log_hr	cox_min_p
DDR	5	0.13619440553982187	1.6336930966538201	0		5	-0.013963405488394628	0.0243460710346921
Epigenetic	8	0.10406621686042786	0.9847277540054145	0		8	-0.18747516272047593	0.0583070830619463
Ion_channel	1	4.000245802065779	19.59674545436952	1	0.28870098100944	1	-0.06733576758314863	0.3951931954005439
JAK_STAT	4	0.3164178882003438	4.173932430353087	0		4	-0.49140894897749343	0.0064741617572325
JAK_STAT_upstream	2	1.3853897645161026	9.546996614826458	1	-0.3193720401357078	2	0.11082825311358296	0.4993303394633822
Lineage_TF_anchor	4	-0.5472282791491196	-3.422343083351182	3	-0.634425935938654	4	-0.16377088220357353	0.1050243585372197
Metabolism	2	0.1634333477471062	1.6119988887202512	0		2	0.11112097858513056	0.0795701721310947
Metabolism_glycolysis	2	0.3550533536819236	2.693942969669662	0		2	0.3311267411200875	0.2006957733509493
Metabolism_master	1	1.288049640978258	7.109874679535679	0		1	0.4043659536901692	0.0704765517655032
NAD_salvage	1	0.5630904327686705	4.4128843686783465	1	0.363836566322872	1	0.24563088033052632	0.3810106286658616
SFK	4	0.5444193178819303	5.079331970772916	1	0.2784705548070396	4	0.06392790178564223	0.0554519546110274
TROP2_ADC_non_SL	1	4.143651948665289	13.78346685033492	1	0.2925206316398649	1	-0.10836460887501083	0.1611893258504876
