config	n_dim	no_overlap_auc	lo	hi	n
presentation_only	1	0.668327106683271	0.5356060560896241	0.7873267176671381	106
3_pres_proc_aff	3	0.6301369863013698	0.49691222022537707	0.7461911191377135	106
8_indiv_pan	8	0.4856787048567871	0.3621663313212609	0.605770426712591	106
8_indiv_norm	8	0.4856787048567871	0.3621663313212609	0.605770426712591	106
score_full_44	32	0.5936073059360731	0.4709852545857052	0.7078004717178479	106
penultimate_only_40	40	0.4176006641760067	0.3144019655620533	0.5328345635430037	106
score+penult_full	72	0.5118306351183064	0.40075772609922716	0.6258684686555325	106
presentation_only+pwm	3	0.4865089248650893	0.36984126984126986	0.5991995329501234	106
3_pres_proc_aff+pwm	5	0.48111249481112495	0.36299253470488363	0.5981794955425093	106
8_indiv_pan+pwm	10	0.46741386467413865	0.352182499110953	0.5795207115353549	106
8_indiv_norm+pwm	10	0.46741386467413865	0.352182499110953	0.5795207115353549	106
score_full_44+pwm	34	0.48360315483603156	0.3727162607293204	0.5948538838612367	106
