supertype	n	n_pos	auc	lo	hi
A01-like	8	3	0.9333333333333333	0.6666666666666667	1.0
A02-like	47	22	0.7654545454545455	0.6173863636363637	0.8983754940711463
A03-like	18	2	0.75	0.3125	1.0
B44-like	20	3	0.45098039215686275	0.052631578947368474	1.0
B07-like	6	1	0.0	0.0	0.0
