cohort	score	n	n_R	n_NR	logOR	se	OR	lo	hi	p	cohens_d	auc	fdr
GSE176307	HLA_class_I	61	11	50	0.28812063133120414	0.33283976568273377	1.333918206747238	0.6947207523024524	2.5612273368755183	0.386685607760642	0.28739543286363906	0.5745454545454546	0.5540961433072572
IMvigor210	HLA_class_I	298	68	230	0.31314747055138265	0.1414063854810788	1.3677232150526752	1.036646469989976	1.8045368861499282	0.02679293040380946	0.30974589957372173	0.5819693094629156	0.10717172161523784
MGH_GSE115821	HLA_class_I	13	2	11	0.7068089758640899	0.868180070265617	2.027511088137196	0.36978853570193293	11.116626979027753	0.41557210748044293	0.6197442506526158	0.6818181818181818	0.5540961433072572
riaz_GSE91061	HLA_class_I	49	10	39	0.13082273395858643	0.36029186607736013	1.1397657216457457	0.5625083370714521	2.309416260391595	0.7165286143533169	0.12640338807708945	0.5358974358974359	0.7165286143533169
GSE176307	HLA_class_II	61	11	50	0.013974480832710535	0.332913326190184	1.0140725803204724	0.5280651363950611	1.947379456212552	0.9665175645530657	0.013748718965381808	0.5181818181818182	0.9665175645530657
IMvigor210	HLA_class_II	298	68	230	-0.047961461738711055	0.1377134388553091	0.9531705199042395	0.7276902501471325	1.2485175386516734	0.727637408725823	-0.04793157751105801	0.5062659846547315	0.9665175645530657
MGH_GSE115821	HLA_class_II	13	2	11	0.7041617243291025	0.8362338383273806	2.0221508543708033	0.39264216685540054	10.414301934459505	0.3997525902154295	0.6410237176558865	0.7727272727272727	0.799505180430859
riaz_GSE91061	HLA_class_II	49	10	39	0.4297339897661454	0.3725809759286951	1.5368486516994067	0.7404295982509222	3.1899099979386083	0.2487472411803544	0.41210282258488007	0.6	0.799505180430859
GSE176307	IFNG_T_cell_inflamed	61	11	50	0.2928638432808945	0.32283817584499397	1.340260292563625	0.7118422284535678	2.523449129626767	0.364325527960224	0.30173215156810357	0.6127272727272727	0.364325527960224
IMvigor210	IFNG_T_cell_inflamed	298	68	230	0.41895460844626914	0.1378405876687873	1.5203713412064659	1.1604258578878268	1.9919661385082588	0.0023703888801097366	0.4324887293552224	0.6158567774936061	0.009481555520438946
MGH_GSE115821	IFNG_T_cell_inflamed	13	2	11	0.8440160092902002	0.7223912774973249	2.3256882326764723	0.5644683893298437	9.582158820321819	0.2426599436700111	0.9596175934441276	0.7272727272727273	0.3235465915600148
riaz_GSE91061	IFNG_T_cell_inflamed	49	10	39	0.4992389352730665	0.3697170005370583	1.6474669644611142	0.7981917790516259	3.4003700241257064	0.17691103980420708	0.48763543578296403	0.6205128205128205	0.3235465915600148
GSE176307	checkpoint_exhaustion	61	11	50	0.3034642307990165	0.32954661643981337	1.3545431391497067	0.7100306524435199	2.584095643622219	0.3571267987848188	0.30627190504150154	0.5745454545454546	0.3571267987848188
IMvigor210	checkpoint_exhaustion	298	68	230	0.20430350417425205	0.13744531612678693	1.2266703965504713	0.936983772527488	1.6059192334936054	0.1371641445821299	0.20604678570061427	0.5654731457800511	0.2674302163964926
MGH_GSE115821	checkpoint_exhaustion	13	2	11	1.0197676113898024	0.7967421621367287	2.772550379963944	0.5816728943813742	13.215392506150032	0.20057266229736948	1.1047411698713911	0.8636363636363636	0.2674302163964926
