candidate	found_in_repo	note
sade-feldman	False	no scRNA ICI cohort in /data/thca/repo_results/paper11_pancancer or project/data/external
GSE120575	False	no scRNA ICI cohort in /data/thca/repo_results/paper11_pancancer or project/data/external
GSE123813	False	no scRNA ICI cohort in /data/thca/repo_results/paper11_pancancer or project/data/external
GSE166181	False	no scRNA ICI cohort in /data/thca/repo_results/paper11_pancancer or project/data/external
Yost	False	no scRNA ICI cohort in /data/thca/repo_results/paper11_pancancer or project/data/external
Bassez	False	no scRNA ICI cohort in /data/thca/repo_results/paper11_pancancer or project/data/external
