cohort	score	n	n_event	HR_per_z	HR_lo	HR_hi	p
GSE176307	HLA_class_I	90	36	0.6206864636299639	0.43125683908038664	0.8933230762322107	0.01025320089227951
GSE176307	HLA_class_II	90	36	0.6859428280509158	0.49308292941645676	0.9542361645156248	0.025215458944615413
GSE176307	DM1_inflam_composite	90	36	0.6162120545948714	0.43641700071430706	0.8700790656792221	0.005948271618396679
GSE176307	IFNG_T_cell_inflamed	90	36	0.6235678892862415	0.4270575086636704	0.9105024608175835	0.014468395018610485
GSE176307	checkpoint_exhaustion	90	36	0.6005865337728767	0.42148332349547213	0.8557970492353152	0.004775050629691358
GSE176307	cytolytic_GZMA_PRF1	90	36	0.6620510646422925	0.4656683587631818	0.9412527262065892	0.02160730031224823
GSE176307	lineage_portable_DM1	90	36	0.5684955570670138	0.3873023012475586	0.8344572117539711	0.0039243708586762455
IMvigor210	HLA_class_I	348	232	0.8651065734068639	0.762135922843995	0.9819893813153339	0.025022574386400088
IMvigor210	HLA_class_II	348	232	0.9341299438411647	0.8221752640985421	1.0613293662360923	0.29549959396892067
IMvigor210	DM1_inflam_composite	348	232	0.8986403162520679	0.7911038968963054	1.0207943876421928	0.10028573000790851
IMvigor210	IFNG_T_cell_inflamed	348	232	0.8102828433632108	0.709740461857331	0.9250681362178673	0.0018567686464355806
IMvigor210	checkpoint_exhaustion	348	232	0.8460070742753092	0.7418024381200073	0.9648498480778509	0.01264839264549165
IMvigor210	cytolytic_GZMA_PRF1	348	232	0.8806227319596718	0.7736092281603167	1.0024394330045505	0.05446670835039685
IMvigor210	lineage_portable_DM1	348	232	0.9680573582267392	0.8503911700482797	1.1020046795214593	0.623442507273556
