cohort	dm1_strata	n	n_R	auc_hla1	logOR_hla1	OR_hla1	p_hla1
GSE176307	high	21	4	0.5	0.2724187521142738	1.313136764992394	0.6137037062599385
GSE176307	low	20	2	0.3055555555555556	-0.5618384204649162	0.5701599061081147	0.483840699825141
IMvigor210	high	100	28	0.625	0.4365446025200493	1.5473512567189098	0.060325737762227924
IMvigor210	low	99	20	0.5044303797468355	0.03077053211751223	1.031248838246749	0.9019457513444635
MGH_GSE115821	high	5	2				
MGH_GSE115821	low	4	0				
riaz_GSE91061	high	17	5	0.55	0.060312247069862504	1.0621681536646728	0.9100920463679163
riaz_GSE91061	low	17	3	0.5476190476190477	0.0021143430575835597	1.0021165798570422	0.9973484170123017
