ligand_receptor,cluster_pair,mean,pval
"('HLA-DRA', 'CTSL')","('Myeloid cell', 'B cell')",3.654422304086518,0.0
"('HLA-DRB1', 'CTSL')","('Myeloid cell', 'B cell')",3.5533972204777236,0.0
"('HLA-DRA', 'CTSL')","('B cell', 'B cell')",3.45255708694458,0.0
"('THBS2', 'NOTCH3')","('B cell', 'Endothelial cell')",3.292035400867462,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Myeloid cell')",3.1352519149421587,0.0
"('HLA-DRA', 'CTSL')","('T cell', 'B cell')",2.8045194546381635,0.0
"('CLU', 'TYROBP')","('Fibroblast', 'Myeloid cell')",2.7851928295687127,0.0
"('THBS2', 'ITGA6')","('B cell', 'Endothelial cell')",2.666393756866455,0.0
"('CLU', 'TYROBP')","('Malignant cell', 'Malignant cell')",2.637189442880188,0.0
"('SPARC', 'MMP14')","('Endothelial cell', 'Fibroblast')",2.6077380895021545,0.0
"('SPARC', 'MMP14')","('T cell', 'Fibroblast')",2.5676849404377724,0.0
"('HLA-DRB5', 'CTSL')","('Myeloid cell', 'B cell')",2.524597029936941,0.0
"('MMRN2', 'CD93')","('Endothelial cell', 'Endothelial cell')",2.471900999546051,0.0
"('JAG1', 'NOTCH3')","('Endothelial cell', 'Endothelial cell')",2.4107848405838013,0.0
"('THBS2', 'CD36')","('B cell', 'Endothelial cell')",2.3960038125514984,0.0
"('SPARC', 'MMP14')","('Endothelial cell', 'Myeloid cell')",2.3843475449503515,0.0
"('SPARC', 'MMP14')","('Fibroblast', 'Fibroblast')",2.3831064392678183,0.0
"('DCN', 'KDR')","('Fibroblast', 'Endothelial cell')",2.377992263258393,0.0
"('SPARC', 'MMP14')","('Endothelial cell', 'T cell')",2.3770900198391507,0.0
"('SPARC', 'MMP14')","('T cell', 'Myeloid cell')",2.3442943958859694,0.0
"('SPARC', 'MMP14')","('T cell', 'T cell')",2.3370368707747686,0.0
"('THBS2', 'NOTCH4')","('B cell', 'Endothelial cell')",2.3352624475955963,0.0
"('THBS2', 'NOTCH3')","('B cell', 'Fibroblast')",2.3157744911772693,0.0
"('THBS2', 'NOTCH3')","('Fibroblast', 'Endothelial cell')",2.2929461032003906,0.0
"('SPARC', 'MMP14')","('Endothelial cell', 'Malignant cell')",2.258469990155566,0.0
"('DLL4', 'NOTCH3')","('Endothelial cell', 'Endothelial cell')",2.2480892091989517,0.0
"('THBS2', 'NOTCH3')","('T cell', 'Endothelial cell')",2.2394156541143144,0.0
"('SPARC', 'MMP14')","('T cell', 'Malignant cell')",2.2184168410911838,0.0
"('DCN', 'LRP1')","('Fibroblast', 'Fibroblast')",2.216115545425842,0.0
"('HLA-DRB5', 'CTSL')","('Endothelial cell', 'B cell')",2.200812056660652,0.0
