cluster_1,,B cell,B cell,B cell,B cell,B cell,B cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Endothelial cell,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Fibroblast,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Malignant cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,Myeloid cell,T cell,T cell,T cell,T cell,T cell,T cell
cluster_2,,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell,B cell,Endothelial cell,Fibroblast,Malignant cell,Myeloid cell,T cell
source,target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCL2,MMP14,,,,,,,,0.378,0.006,0.062,0.034,0.046,,0.482,0.0,0.002,0.002,0.042,,0.606,0.0,1.0,0.05,0.16,,0.55,0.0,0.442,0.034,0.108,,0.49,0.0,0.178,0.01,0.062
TNFSF9,TNFRSF9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHH,PTCH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.236,,,,,,,
IHH,PTCH1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAG1,NOTCH3,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.012,0.64,0.802,0.684,,0.0,0.0,0.992,0.826,0.698,,0.0,0.41,0.986,0.954,0.91,,0.0,0.002,0.014,0.052,0.13
HLA-DRB5,CTSL,,,,,,,0.0,,0.398,0.362,0.362,0.336,0.002,,1.0,1.0,0.97,0.872,0.002,,0.93,0.318,0.382,0.278,0.0,,0.0,0.0,0.0,0.0,0.004,,1.0,1.0,0.998,0.986
HLA-DQA2,CTSL,,,,,,,,,,,,,0.002,,0.788,0.096,0.28,0.208,0.002,,0.944,0.566,0.406,0.292,0.002,,0.352,0.066,0.148,0.158,,,,,,
HLA-DRB1,CTSL,0.002,,0.116,0.096,0.094,0.092,0.004,,0.786,0.762,0.744,0.73,0.002,,0.57,0.324,0.316,0.248,0.002,,0.994,1.0,0.608,0.382,0.0,,0.0,0.0,0.0,0.0,0.002,,0.942,0.926,0.92,0.894
IL2,IL2RA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLA-DQB2,CTSL,,,,,,,,,,,,,0.002,,0.638,0.126,0.25,0.216,0.002,,0.942,0.566,0.406,0.288,0.002,,0.33,0.124,0.154,0.156,,,,,,
