#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"
20	0.010000000000000005	-82528.48449929335	1.8819799340754058	0
40	0.020000000000000014	-82667.74799527231	3.846290520982058	0.424
60	0.030000000000000023	-82886.44900704105	6.394803123201007	0.427
80	0.04000000000000003	-83146.21654994972	9.184365586315892	0.428
100	0.05000000000000004	-83425.39613915348	12.008047711300243	0.415
120	0.060000000000000046	-83689.87246262241	14.718886130254988	0.418
140	0.07000000000000005	-84026.91026315684	17.904563062981428	0.421
160	0.08000000000000006	-84379.00330386293	21.12655387716806	0.421
180	0.09000000000000007	-84776.12685593496	24.58916479574788	0.419
200	0.10000000000000007	-85170.84234846741	28.072678848659002	0.417
