sample_id	condition	platform	has_image	has_spatial_coords	h5ad_path	image_path	raw_prefix	source
GSM7980860_N-1	normal	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980860_N-1/GSM7980860_N-1.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980860_N-1/tissue_hires_image.png		local_processed_GSE250521
GSM7980861_N-2	normal	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980861_N-2/GSM7980861_N-2.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980861_N-2/tissue_hires_image.png		local_processed_GSE250521
GSM7980862_N-3	normal	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980862_N-3/GSM7980862_N-3.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980862_N-3/tissue_hires_image.png		local_processed_GSE250521
GSM7980863_N-4	normal	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980863_N-4/GSM7980863_N-4.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980863_N-4/tissue_hires_image.png		local_processed_GSE250521
GSM7980864_PTC-1	PTC	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980864_PTC-1/GSM7980864_PTC-1.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980864_PTC-1/tissue_hires_image.png		local_processed_GSE250521
GSM7980865_PTC-2	PTC	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980865_PTC-2/GSM7980865_PTC-2.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980865_PTC-2/tissue_hires_image.png		local_processed_GSE250521
GSM7980866_PTC-3	PTC	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980866_PTC-3/GSM7980866_PTC-3.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980866_PTC-3/tissue_hires_image.png		local_processed_GSE250521
GSM7980867_PTC-4	PTC	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980867_PTC-4/GSM7980867_PTC-4.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980867_PTC-4/tissue_hires_image.png		local_processed_GSE250521
GSM7980868_LPTC-1	locally_advanced_PTC	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980868_LPTC-1/GSM7980868_LPTC-1.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980868_LPTC-1/tissue_hires_image.png		local_processed_GSE250521
GSM7980869_LPTC-2	locally_advanced_PTC	10x_Visium	True	True	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980869_LPTC-2/GSM7980869_LPTC-2.raw.h5ad	/home/seungho/personal/THCA_data_analysis/kthyro_public_pilot/data_raw/spatial/GSE250521/GSM7980869_LPTC-2/tissue_hires_image.png		local_processed_GSE250521
