split_name	fold_id	expert	top10_positive_n	top10_negative_n	top10_precision	top10_overlap_n
exact_peptide_hla_holdout	pmhc_00	C_counterfactual_rf	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_00	D_structure_geometry_rf	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_00	E_quantum_fixed_rf	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_00	F_CROSS_all_rf	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_00	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_00	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	4.0	6.0	0.4	
exact_peptide_hla_holdout	pmhc_00	qk_no_anchor_gamma1	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_00	qk_quantum_only_gamma1	4.0	6.0	0.4	
exact_peptide_hla_holdout	pmhc_00	overlap::C_counterfactual_rf::D_structure_geometry_rf				7.0
exact_peptide_hla_holdout	pmhc_00	overlap::C_counterfactual_rf::E_quantum_fixed_rf				5.0
exact_peptide_hla_holdout	pmhc_00	overlap::C_counterfactual_rf::F_CROSS_all_rf				8.0
exact_peptide_hla_holdout	pmhc_00	overlap::C_counterfactual_rf::late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1				8.0
exact_peptide_hla_holdout	pmhc_00	overlap::C_counterfactual_rf::late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1				8.0
exact_peptide_hla_holdout	pmhc_00	overlap::C_counterfactual_rf::qk_no_anchor_gamma1				7.0
exact_peptide_hla_holdout	pmhc_00	overlap::C_counterfactual_rf::qk_quantum_only_gamma1				7.0
exact_peptide_hla_holdout	pmhc_00	overlap::D_structure_geometry_rf::E_quantum_fixed_rf				7.0
exact_peptide_hla_holdout	pmhc_00	overlap::D_structure_geometry_rf::F_CROSS_all_rf				7.0
exact_peptide_hla_holdout	pmhc_00	overlap::D_structure_geometry_rf::late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1				6.0
exact_peptide_hla_holdout	pmhc_00	overlap::D_structure_geometry_rf::late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1				6.0
exact_peptide_hla_holdout	pmhc_00	overlap::D_structure_geometry_rf::qk_no_anchor_gamma1				6.0
exact_peptide_hla_holdout	pmhc_00	overlap::D_structure_geometry_rf::qk_quantum_only_gamma1				6.0
exact_peptide_hla_holdout	pmhc_00	overlap::E_quantum_fixed_rf::F_CROSS_all_rf				7.0
exact_peptide_hla_holdout	pmhc_00	overlap::E_quantum_fixed_rf::late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1				4.0
exact_peptide_hla_holdout	pmhc_00	overlap::E_quantum_fixed_rf::late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1				4.0
exact_peptide_hla_holdout	pmhc_00	overlap::E_quantum_fixed_rf::qk_no_anchor_gamma1				4.0
exact_peptide_hla_holdout	pmhc_00	overlap::E_quantum_fixed_rf::qk_quantum_only_gamma1				5.0
exact_peptide_hla_holdout	pmhc_00	overlap::F_CROSS_all_rf::late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1				7.0
exact_peptide_hla_holdout	pmhc_00	overlap::F_CROSS_all_rf::late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1				6.0
exact_peptide_hla_holdout	pmhc_00	overlap::F_CROSS_all_rf::qk_no_anchor_gamma1				7.0
exact_peptide_hla_holdout	pmhc_00	overlap::F_CROSS_all_rf::qk_quantum_only_gamma1				6.0
exact_peptide_hla_holdout	pmhc_00	overlap::late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1::late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1				8.0
exact_peptide_hla_holdout	pmhc_00	overlap::late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1::qk_no_anchor_gamma1				9.0
exact_peptide_hla_holdout	pmhc_00	overlap::late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1::qk_quantum_only_gamma1				7.0
exact_peptide_hla_holdout	pmhc_00	overlap::late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1::qk_no_anchor_gamma1				8.0
exact_peptide_hla_holdout	pmhc_00	overlap::late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1::qk_quantum_only_gamma1				9.0
exact_peptide_hla_holdout	pmhc_00	overlap::qk_no_anchor_gamma1::qk_quantum_only_gamma1				7.0
exact_peptide_hla_holdout	pmhc_01	C_counterfactual_rf	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_01	D_structure_geometry_rf	2.0	8.0	0.2	
exact_peptide_hla_holdout	pmhc_01	E_quantum_fixed_rf	2.0	8.0	0.2	
exact_peptide_hla_holdout	pmhc_01	F_CROSS_all_rf	2.0	8.0	0.2	
exact_peptide_hla_holdout	pmhc_01	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_01	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_01	qk_no_anchor_gamma1	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_01	qk_quantum_only_gamma1	3.0	7.0	0.3	
exact_peptide_hla_holdout	pmhc_01	overlap::C_counterfactual_rf::D_structure_geometry_rf				6.0
exact_peptide_hla_holdout	pmhc_01	overlap::C_counterfactual_rf::E_quantum_fixed_rf				7.0
exact_peptide_hla_holdout	pmhc_01	overlap::C_counterfactual_rf::F_CROSS_all_rf				8.0
exact_peptide_hla_holdout	pmhc_01	overlap::C_counterfactual_rf::late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1				7.0
exact_peptide_hla_holdout	pmhc_01	overlap::C_counterfactual_rf::late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1				6.0
exact_peptide_hla_holdout	pmhc_01	overlap::C_counterfactual_rf::qk_no_anchor_gamma1				6.0
exact_peptide_hla_holdout	pmhc_01	overlap::C_counterfactual_rf::qk_quantum_only_gamma1				6.0
exact_peptide_hla_holdout	pmhc_01	overlap::D_structure_geometry_rf::E_quantum_fixed_rf				5.0
