split_name	model	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10
exact_peptide_hla_holdout	pu_logistic_weighted	89	21	0.23595505617977527	0.5450082407292177	0.6981792717086834	0.19537492715196325	0.8	0.19047619047619047	3.390476190476191	0.7	0.3333333333333333	2.9666666666666663
exact_peptide_hla_holdout	bagging_pu_rf	89	21	0.23595505617977527	0.503928248087202	0.7184873949579832	0.18954613371667162	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427
exact_peptide_hla_holdout	pairwise_positive_over_unlabeled	89	21	0.23595505617977527	0.49738533118744116	0.6862745098039216	0.28991128374490727	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427
exact_peptide_hla_holdout	positive_only_centroid	89	21	0.23595505617977527	0.29355160418914855	0.5378151260504201	0.19930735362832397	0.2	0.047619047619047616	0.8476190476190477	0.3	0.14285714285714285	1.2714285714285714
hla_stratified_group_5fold	bagging_pu_rf	89	21	0.23595505617977527	0.515923553057253	0.7415966386554622	0.1896248403316637	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427
hla_stratified_group_5fold	pu_logistic_weighted	89	21	0.23595505617977527	0.5062403916448968	0.6988795518207283	0.19164670813553833	0.6	0.14285714285714285	2.5428571428571427	0.7	0.3333333333333333	2.9666666666666663
hla_stratified_group_5fold	pairwise_positive_over_unlabeled	89	21	0.23595505617977527	0.49419303111696683	0.6890756302521007	0.2710996143631248	0.8	0.19047619047619047	3.390476190476191	0.5	0.23809523809523808	2.119047619047619
hla_stratified_group_5fold	positive_only_centroid	89	21	0.23595505617977527	0.25528187832430993	0.5056022408963585	0.2005112585363386	0.2	0.047619047619047616	0.8476190476190477	0.2	0.09523809523809523	0.8476190476190477
hla_supertype_heldout	bagging_pu_rf	72	15	0.20833333333333334	0.5162249827902297	0.7859649122807018	0.18218553943565352	0.8	0.26666666666666666	3.84	0.5	0.3333333333333333	2.4
hla_supertype_heldout	pu_logistic_weighted	72	15	0.20833333333333334	0.5004420099424394	0.7426900584795322	0.182448468780148	0.8	0.26666666666666666	3.84	0.5	0.3333333333333333	2.4
hla_supertype_heldout	pairwise_positive_over_unlabeled	72	15	0.20833333333333334	0.4828592721089845	0.7625730994152048	0.2421308738009506	0.6	0.2	2.88	0.5	0.3333333333333333	2.4
hla_supertype_heldout	positive_only_centroid	72	15	0.20833333333333334	0.2947346695823907	0.6093567251461989	0.17693173092488174	0.2	0.06666666666666667	0.96	0.4	0.26666666666666666	1.92
