failure_mode	best_model	best_AUPRC	best_top10	prevalence	interpretation
source_heldout_NEPdb	decoy_focal_positive_pattern	0.3957325911161289	0.6	0.263986013986014	source-heldout stress; not external validation
source_heldout_TESLA_mmc4	pu_weighted_rf	0.07756186529529505	0.0	0.06115702479338843	source-heldout stress; not external validation
source_heldout_TESLA_mmc7_validation	pu_logistic_weighted	0.2703650210084033	0.1	0.012903225806451613	source-heldout stress; not external validation
public_predictor_training_overlap					6 public comparator training corpora still unresolved
