split_name	expert_a	expert_b	n	spearman_rank_corr
exact_peptide_hla_holdout	C_counterfactual_rf	D_structure_geometry_rf	89	-0.16122431579844826
exact_peptide_hla_holdout	C_counterfactual_rf	E_quantum_fixed_rf	89	0.023787194134197286
exact_peptide_hla_holdout	C_counterfactual_rf	F_CROSS_all_rf	89	0.6944794952681386
exact_peptide_hla_holdout	C_counterfactual_rf	qk_no_anchor_gamma1	89	0.30173075283485373
exact_peptide_hla_holdout	C_counterfactual_rf	qk_quantum_only_gamma1	89	0.1117827606786597
exact_peptide_hla_holdout	C_counterfactual_rf	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	0.7036874413846022
exact_peptide_hla_holdout	C_counterfactual_rf	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.5356466876971608
exact_peptide_hla_holdout	D_structure_geometry_rf	E_quantum_fixed_rf	89	0.033847727854036995
exact_peptide_hla_holdout	D_structure_geometry_rf	F_CROSS_all_rf	89	0.2590587432858726
exact_peptide_hla_holdout	D_structure_geometry_rf	qk_no_anchor_gamma1	89	0.09109898542075197
exact_peptide_hla_holdout	D_structure_geometry_rf	qk_quantum_only_gamma1	89	-0.004812857021058913
exact_peptide_hla_holdout	D_structure_geometry_rf	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	-0.07745758376673201
exact_peptide_hla_holdout	D_structure_geometry_rf	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	-0.06893170773296954
exact_peptide_hla_holdout	E_quantum_fixed_rf	F_CROSS_all_rf	89	0.0840225083127291
exact_peptide_hla_holdout	E_quantum_fixed_rf	qk_no_anchor_gamma1	89	0.0010231051240514961
exact_peptide_hla_holdout	E_quantum_fixed_rf	qk_quantum_only_gamma1	89	0.03772700144939892
exact_peptide_hla_holdout	E_quantum_fixed_rf	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	0.006398669963338732
exact_peptide_hla_holdout	E_quantum_fixed_rf	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.034401909796231554
exact_peptide_hla_holdout	F_CROSS_all_rf	qk_no_anchor_gamma1	89	0.3220479154233096
exact_peptide_hla_holdout	F_CROSS_all_rf	qk_quantum_only_gamma1	89	0.02481029925824878
exact_peptide_hla_holdout	F_CROSS_all_rf	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	0.5285872623412055
exact_peptide_hla_holdout	F_CROSS_all_rf	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.34734418961548286
exact_peptide_hla_holdout	qk_no_anchor_gamma1	qk_quantum_only_gamma1	89	0.3737744053201466
exact_peptide_hla_holdout	qk_no_anchor_gamma1	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	0.8564157217154061
exact_peptide_hla_holdout	qk_no_anchor_gamma1	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.46073834086452375
exact_peptide_hla_holdout	qk_quantum_only_gamma1	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	0.3276494159774916
exact_peptide_hla_holdout	qk_quantum_only_gamma1	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.8565009804757436
exact_peptide_hla_holdout	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.6003495609173841
hla_stratified_group_5fold	C_counterfactual_rf	D_structure_geometry_rf	89	0.11554851701063001
hla_stratified_group_5fold	C_counterfactual_rf	E_quantum_fixed_rf	89	0.03518548476359952
hla_stratified_group_5fold	C_counterfactual_rf	F_CROSS_all_rf	89	0.6495840747899089
hla_stratified_group_5fold	C_counterfactual_rf	qk_no_anchor_gamma1	89	0.16084002418070825
hla_stratified_group_5fold	C_counterfactual_rf	qk_quantum_only_gamma1	89	0.09188669124471048
hla_stratified_group_5fold	C_counterfactual_rf	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	0.5244616812403682
hla_stratified_group_5fold	C_counterfactual_rf	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.3652266089962452
hla_stratified_group_5fold	D_structure_geometry_rf	E_quantum_fixed_rf	89	0.21371069021935107
hla_stratified_group_5fold	D_structure_geometry_rf	F_CROSS_all_rf	89	0.4395032716507045
hla_stratified_group_5fold	D_structure_geometry_rf	qk_no_anchor_gamma1	89	0.10808992877827339
hla_stratified_group_5fold	D_structure_geometry_rf	qk_quantum_only_gamma1	89	-0.00451687335304246
hla_stratified_group_5fold	D_structure_geometry_rf	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	0.11049949552457122
hla_stratified_group_5fold	D_structure_geometry_rf	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.02147749864853837
hla_stratified_group_5fold	E_quantum_fixed_rf	F_CROSS_all_rf	89	0.24198162606748463
hla_stratified_group_5fold	E_quantum_fixed_rf	qk_no_anchor_gamma1	89	0.23198579809108635
hla_stratified_group_5fold	E_quantum_fixed_rf	qk_quantum_only_gamma1	89	0.1610869398632598
hla_stratified_group_5fold	E_quantum_fixed_rf	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	0.18210457304872754
hla_stratified_group_5fold	E_quantum_fixed_rf	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.12790232356171616
hla_stratified_group_5fold	F_CROSS_all_rf	qk_no_anchor_gamma1	89	0.18353923830769103
hla_stratified_group_5fold	F_CROSS_all_rf	qk_quantum_only_gamma1	89	0.0985406431727814
hla_stratified_group_5fold	F_CROSS_all_rf	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	89	0.4584543078272272
hla_stratified_group_5fold	F_CROSS_all_rf	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	89	0.3012584185476249
