family	model	split_name	AUPRC_ci_low	AUPRC_ci_high	top10_ci_low	top10_ci_high
v1_gated_moe	prespecified_C_0.5_QK_quantum_0.5	exact_peptide_hla_holdout	0.30306918008806744	0.7746776825971945	0.3	1.0
v1_gated_moe	prespecified_C_0.5_QK_quantum_0.5	near_peptide_cluster_holdout	0.3416042996467696	0.7474565397062186	0.32250000000000006	0.9
v1_pu_ranking	pu_logistic_weighted	repeated_stratified_5x5_internal	0.41476330690206226	0.5915163058881511	0.8	1.0
v1_pu_ranking	pu_logistic_weighted	near_peptide_cluster_holdout	0.2900133884612372	0.6837623400076384	0.2	0.9
v1_pu_ranking	pu_logistic_weighted	hla_supertype_heldout	0.2556698441014009	0.7367115651161376	0.1	0.9
v0_reference	v0_fixed_late_fusion_C_QK_quantum	near_peptide_cluster_holdout	0.3248433314235097	0.7499806489706813	0.32250000000000006	1.0
v0_reference	v0_fixed_late_fusion_C_QK_quantum	exact_peptide_hla_holdout	0.3015426281058	0.7638873119827965	0.3	1.0
v1_pu_ranking	pairwise_positive_over_unlabeled	exact_peptide_hla_holdout	0.3178770723194689	0.7165596403134146	0.3	0.9775000000000006
v0_reference	v0_fixed_late_fusion_C_QK_no_anchor	study_heldout	0.21333333333333332	0.9031746031746031	0.2222222222222222	0.8888888888888888
v1_pu_ranking	pairwise_positive_over_unlabeled	hla_stratified_group_5fold	0.32377364447748186	0.6808736698970216	0.2	0.8
v1_gated_moe	prespecified_C_0.5_QK_quantum_0.5	hla_supertype_heldout	0.2823884361228392	0.7202364297539151	0.2	0.8
v0_reference	v0_fixed_late_fusion_C_QK_quantum	hla_stratified_group_5fold	0.2970203302730781	0.7092170521633757	0.2	0.9
v1_pu_ranking	pairwise_positive_over_unlabeled	near_peptide_cluster_holdout	0.2971330204021435	0.6787987497191567	0.2	0.9
