split_name	fold_id	model	sample_id	w_base_C_QK	w_hard_decoy_aux	pattern_reliability	decoy_agreement
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02425	0.9303832100899591	0.06961678991004093	0.75	0.5801399159170078
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02477	0.9456093916408664	0.054390608359133605	0.75	0.45325506965944673
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02478	0.9128655648417277	0.08713443515827239	0.75	0.7261202929856033
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02479	0.9293541272755002	0.07064587272449988	0.75	0.588715606037499
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02513	0.9378444816986128	0.062155518301387255	0.75	0.5179626525115605
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02516	0.9246064275092714	0.0753935724907287	0.75	0.6282797707560726
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02518	0.940534436620569	0.05946556337943102	0.75	0.49554636149525855
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02544	0.9225829973848207	0.07741700261517928	0.75	0.6451416884598273
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02545	0.9152463018667443	0.08475369813325578	0.75	0.7062808177771316
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02551	0.9152165765660387	0.08478342343396134	0.75	0.7065285286163445
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02555	0.9225592586019691	0.07744074139803091	0.75	0.6453395116502576
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02557	0.938185340599071	0.06181465940092902	0.75	0.5151221616744085
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02564	0.9028362859152526	0.09716371408474739	0.75	0.8096976173728949
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02568	0.9207730172167279	0.07922698278327213	0.75	0.6602248565272678
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02573	0.9144856212543587	0.08551437874564125	0.75	0.7126198228803438
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02580	0.9192630159505132	0.0807369840494868	0.75	0.6728082004123901
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02581	0.9177352530244792	0.08226474697552076	0.75	0.6855395581293396
repeated_stratified_5x5_internal	rs_00	hard_decoy_rule_aux_C_QK_no_anchor	CNV0_02588	0.9071100684671526	0.09288993153284743	0.75	0.7740827627737286
