split_name	expert	stratum	value	n	mean_score	median_rank_pct	label_rate
exact_peptide_hla_holdout	C_counterfactual_rf	label	0	68	0.3501214346509538	0.5996732026143792	0.0
exact_peptide_hla_holdout	C_counterfactual_rf	label	1	21	0.4398387010041664	0.2777777777777778	1.0
exact_peptide_hla_holdout	D_structure_geometry_rf	label	0	68	0.41205211696070787	0.5	0.0
exact_peptide_hla_holdout	D_structure_geometry_rf	label	1	21	0.35555947976156643	0.5555555555555556	1.0
exact_peptide_hla_holdout	E_quantum_fixed_rf	label	0	68	0.3864212077250163	0.5555555555555556	0.0
exact_peptide_hla_holdout	E_quantum_fixed_rf	label	1	21	0.3810892828608636	0.5	1.0
exact_peptide_hla_holdout	F_CROSS_all_rf	label	0	68	0.3474976047945498	0.5718954248366013	0.0
exact_peptide_hla_holdout	F_CROSS_all_rf	label	1	21	0.4084283561572172	0.35294117647058826	1.0
exact_peptide_hla_holdout	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	label	0	68	0.3838871232649447	0.6111111111111112	0.0
exact_peptide_hla_holdout	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	label	1	21	0.5038466593715317	0.3333333333333333	1.0
exact_peptide_hla_holdout	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	label	0	68	0.3978280712928504	0.5996732026143792	0.0
exact_peptide_hla_holdout	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	label	1	21	0.502865760892829	0.29411764705882354	1.0
exact_peptide_hla_holdout	qk_no_anchor_gamma1	label	0	68	0.41765281187893555	0.5718954248366013	0.0
exact_peptide_hla_holdout	qk_no_anchor_gamma1	label	1	21	0.5678546177388969	0.29411764705882354	1.0
exact_peptide_hla_holdout	qk_quantum_only_gamma1	label	0	68	0.44553470793474714	0.5833333333333334	0.0
exact_peptide_hla_holdout	qk_quantum_only_gamma1	label	1	21	0.5658928207814914	0.3333333333333333	1.0
hla_stratified_group_5fold	C_counterfactual_rf	label	0	68	0.3509817739051622	0.5894736842105264	0.0
hla_stratified_group_5fold	C_counterfactual_rf	label	1	21	0.42826048453446186	0.3939393939393939	1.0
hla_stratified_group_5fold	D_structure_geometry_rf	label	0	68	0.3966679287576191	0.5207336523125996	0.0
hla_stratified_group_5fold	D_structure_geometry_rf	label	1	21	0.34468784140298286	0.5454545454545454	1.0
hla_stratified_group_5fold	E_quantum_fixed_rf	label	0	68	0.41892923555638323	0.55103668261563	0.0
hla_stratified_group_5fold	E_quantum_fixed_rf	label	1	21	0.3734176225010703	0.5151515151515151	1.0
hla_stratified_group_5fold	F_CROSS_all_rf	label	0	68	0.34966609042214286	0.5454545454545454	0.0
hla_stratified_group_5fold	F_CROSS_all_rf	label	1	21	0.39341133576751475	0.375	1.0
hla_stratified_group_5fold	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	label	0	68	0.3852893954572195	0.615530303030303	0.0
hla_stratified_group_5fold	late_prespecified_equal_weight_Cw0.5_qk_no_anchor_gamma1	label	1	21	0.4829948070380895	0.3333333333333333	1.0
hla_stratified_group_5fold	late_prespecified_equal_weight_Cw0.5_qk_quantum_only_gamma1	label	0	68	0.4038204902176307	0.5894736842105264	0.0
