split_name	fold_id	variant	candidate	weights	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10
repeated_stratified_5x5_internal	rs_00	nested_candidate_grid	C_heavy_QKno	"{""expert_counterfactual"": 0.65, ""expert_qk_no_anchor"": 0.35, ""expert_qk_quantum_only"": 0.0, ""expert_structure"": 0.0, ""expert_retrieval"": 0.0}"	71.0	16.0	0.22535211267605634	0.39311747657070234	0.646590909090909	0.19088970813573947	0.4	0.125	1.7750000000000001	0.6	0.375	2.6624999999999996
repeated_stratified_5x5_internal	rs_00	nested_candidate_grid	C_QKquant_equal	"{""expert_counterfactual"": 0.5, ""expert_qk_no_anchor"": 0.0, ""expert_qk_quantum_only"": 0.5, ""expert_structure"": 0.0, ""expert_retrieval"": 0.0}"	71.0	16.0	0.22535211267605634	0.3066795996722566	0.5534090909090909	0.22165075108863486	0.4	0.125	1.7750000000000001	0.3	0.1875	1.3312499999999998
repeated_stratified_5x5_internal	rs_00	nested_candidate_grid	C_QKno_equal	"{""expert_counterfactual"": 0.5, ""expert_qk_no_anchor"": 0.5, ""expert_qk_quantum_only"": 0.0, ""expert_structure"": 0.0, ""expert_retrieval"": 0.0}"	71.0	16.0	0.22535211267605634	0.2869630400911904	0.5761363636363636	0.20435837665387532	0.2	0.0625	0.8875000000000001	0.4	0.25	1.7750000000000001
repeated_stratified_5x5_internal	rs_00	nested_candidate_grid	C_QKno_structure	"{""expert_counterfactual"": 0.45, ""expert_qk_no_anchor"": 0.4, ""expert_qk_quantum_only"": 0.0, ""expert_structure"": 0.15, ""expert_retrieval"": 0.0}"	71.0	16.0	0.22535211267605634	0.28588276574140054	0.5602272727272728	0.20210757798780282	0.2	0.0625	0.8875000000000001	0.2	0.125	0.8875000000000001
repeated_stratified_5x5_internal	rs_00	nested_candidate_grid	all_lowdim_equalish	"{""expert_counterfactual"": 0.35, ""expert_qk_no_anchor"": 0.3, ""expert_qk_quantum_only"": 0.15, ""expert_structure"": 0.1, ""expert_retrieval"": 0.1}"	71.0	16.0	0.22535211267605634	0.26420551659315433	0.5511363636363636	0.20369696677883833	0.0	0.0	0.0	0.3	0.1875	1.3312499999999998
repeated_stratified_5x5_internal	rs_00	nested_candidate_grid	QKno_heavy	"{""expert_counterfactual"": 0.35, ""expert_qk_no_anchor"": 0.65, ""expert_qk_quantum_only"": 0.0, ""expert_structure"": 0.0, ""expert_retrieval"": 0.0}"	71.0	16.0	0.22535211267605634	0.2566576871824493	0.5375000000000001	0.21980655392652776	0.0	0.0	0.0	0.2	0.125	0.8875000000000001
repeated_stratified_5x5_internal	rs_00	rule_gated_mean_weights	rule	"{""expert_counterfactual"": 0.44754150702426565, ""expert_qk_no_anchor"": 0.345434227330779, ""expert_qk_quantum_only"": 0.09955300127713923, ""expert_structure"": 0.04849936143039592, ""expert_retrieval"": 0.058971902937420176}"												
repeated_stratified_5x5_internal	rs_00	nested_selected_weights	selected	"{""expert_counterfactual"": 0.65, ""expert_qk_no_anchor"": 0.35, ""expert_qk_quantum_only"": 0.0, ""expert_structure"": 0.0, ""expert_retrieval"": 0.0}"												
repeated_stratified_5x5_internal	rs_01	nested_candidate_grid	C_heavy_QKno	"{""expert_counterfactual"": 0.65, ""expert_qk_no_anchor"": 0.35, ""expert_qk_quantum_only"": 0.0, ""expert_structure"": 0.0, ""expert_retrieval"": 0.0}"	71.0	17.0	0.23943661971830985	0.45941806626458004	0.7015250544662309	0.19283899730594933	0.8	0.23529411764705882	3.341176470588236	0.5	0.29411764705882354	2.088235294117647
repeated_stratified_5x5_internal	rs_01	nested_candidate_grid	C_QKno_equal	"{""expert_counterfactual"": 0.5, ""expert_qk_no_anchor"": 0.5, ""expert_qk_quantum_only"": 0.0, ""expert_structure"": 0.0, ""expert_retrieval"": 0.0}"	71.0	17.0	0.23943661971830985	0.4266350637533509	0.6753812636165577	0.2003828341091101	0.6	0.17647058823529413	2.5058823529411764	0.6	0.35294117647058826	2.5058823529411764
