split_name	model	n	n_pos	prevalence	AUPRC	AUROC	Brier	top5_precision	recall_at_5	enrichment_at_5	top10_precision	recall_at_10	enrichment_at_10
exact_peptide_hla_holdout	hard_decoy_rule_aux_C_QK_no_anchor	89	21	0.23595505617977527	0.5869645960912089	0.7570028011204482	0.17538307641481826	1.0	0.23809523809523808	4.238095238095238	0.7	0.3333333333333333	2.9666666666666663
exact_peptide_hla_holdout	hard_decoy_nested_meta_C_QK_aux	89	21	0.23595505617977527	0.5330931990365595	0.7570028011204482	0.16462162074509895	0.8	0.19047619047619047	3.390476190476191	0.6	0.2857142857142857	2.5428571428571427
hla_stratified_group_5fold	hard_decoy_rule_aux_C_QK_no_anchor	89	21	0.23595505617977527	0.5206423079199776	0.7233893557422969	0.18109992682921006	0.6	0.14285714285714285	2.5428571428571427	0.6	0.2857142857142857	2.5428571428571427
hla_stratified_group_5fold	hard_decoy_nested_meta_C_QK_aux	89	21	0.23595505617977527	0.46517279643845516	0.7128851540616247	0.17286848189047585	0.6	0.14285714285714285	2.5428571428571427	0.5	0.23809523809523808	2.119047619047619
hla_supertype_heldout	hard_decoy_rule_aux_C_QK_no_anchor	72	15	0.20833333333333334	0.4443613039963633	0.7485380116959064	0.18029896715038418	0.6	0.2	2.88	0.4	0.26666666666666666	1.92
hla_supertype_heldout	hard_decoy_nested_meta_C_QK_aux	72	15	0.20833333333333334	0.32811133441335394	0.6947368421052632	0.17956977457288872	0.2	0.06666666666666667	0.96	0.4	0.26666666666666666	1.92
near_peptide_cluster_holdout	hard_decoy_nested_meta_C_QK_aux	89	21	0.23595505617977527	0.5385738736398837	0.7093837535014006	0.17897586163873988	1.0	0.23809523809523808	4.238095238095238	0.6	0.2857142857142857	2.5428571428571427
near_peptide_cluster_holdout	hard_decoy_rule_aux_C_QK_no_anchor	89	21	0.23595505617977527	0.42671999659288407	0.6953781512605042	0.18700679236282863	0.4	0.09523809523809523	1.6952380952380954	0.5	0.23809523809523808	2.119047619047619
repeated_stratified_5x5_internal	hard_decoy_rule_aux_C_QK_no_anchor	445	105	0.23595505617977527	0.4542459193995467	0.6938935574229692	0.18456357895147268	0.6	0.02857142857142857	2.5428571428571427	0.6	0.05714285714285714	2.5428571428571427
repeated_stratified_5x5_internal	hard_decoy_nested_meta_C_QK_aux	445	105	0.23595505617977527	0.41784738354414425	0.6787114845938375	0.19445818223527167	0.6	0.02857142857142857	2.5428571428571427	0.6	0.05714285714285714	2.5428571428571427
source_heldout_CEDAR	hard_decoy_sequence_only_source_stress	909	851	0.9361936193619362	0.9296785583661791	0.4621135378256818	0.31346406881640015	0.8	0.004700352526439483	0.854524089306698	0.8	0.009400705052878966	0.854524089306698
source_heldout_NEPdb	hard_decoy_sequence_only_source_stress	572	151	0.263986013986014	0.4256105093743964	0.7134385175630397	0.22243050079538298	0.8	0.026490066225165563	3.0304635761589402	0.7	0.046357615894039736	2.6516556291390723
source_heldout_TESLA_mmc4	hard_decoy_sequence_only_source_stress	605	37	0.06115702479338843	0.11861083431988331	0.5765607156452227	0.1955585465151472	0.4	0.05405405405405406	6.540540540540541	0.3	0.08108108108108109	4.905405405405405
source_heldout_TESLA_mmc7_validation	hard_decoy_sequence_only_source_stress	310	4	0.012903225806451613	0.08254194861145918	0.7009803921568627	0.19010116291053	0.2	0.25	15.5	0.1	0.25	7.75
study_heldout	hard_decoy_nested_meta_C_QK_aux	9	5	0.5555555555555556	0.7961904761904761	0.7	0.3570663364308771	0.6	0.6	1.0799999999999998	0.5555555555555556	1.0	1.0
study_heldout	hard_decoy_rule_aux_C_QK_no_anchor	89	21	0.23595505617977527	0.20091083624944098	0.34383753501400555	0.28782894535404474	0.2	0.047619047619047616	0.8476190476190477	0.2	0.09523809523809523	0.8476190476190477
