broad_id	name	n_high	n_low	mean_LFC_high	mean_LFC_low	delta_LFC	cohens_d	p	fdr
BRD-K00091078-001-01-9	AZD-0364	229	241	-2.9467069518522613	-2.009573012349097	-0.9371339395031644	-0.5938098749213736	3.8764098620213927e-10	5.884390170548475e-07
BRD-K00010389-001-01-9	RAF709	233	247	-1.1672992233344213	-0.515415874994142	-0.6518833483402793	-0.5553126738632228	3.5607343000575247e-09	2.702597333743662e-06
BRD-K05804044-001-18-5	AZ 628	234	248	-1.5826861381960051	-0.9038993714071092	-0.678786766788896	-0.5328011254693179	1.3119837911354489e-08	5.160284948545425e-06
BRD-K00003116-001-01-9	CC-90003	232	248	-2.1730481288262613	-1.3787260934932757	-0.7943220353329856	-0.5324944190333638	1.3597588797221146e-08	5.160284948545425e-06
BRD-K52644305-300-02-9	ML786	234	247	-1.4244390779121887	-0.7871705262154368	-0.6372685516967519	-0.4849386148649617	2.076578601190656e-07	6.30449263321483e-05
BRD-K00003416-001-01-9	LY3214996	233	247	-1.330152544537944	-0.8160571503196331	-0.514095394218311	-0.4424297606518836	2.02607487923522e-06	0.0005125969444465
BRD-K00003275-001-01-9	lifirafenib	234	247	-0.8926746340459095	-0.4316277180370311	-0.4610469160088784	-0.4303278852491297	3.933607415937673e-06	0.0008053231602149
BRD-K00003295-300-01-9	elacestrant	232	248	-5.885288503910954	-4.376301040051097	-1.5089874638598566	-0.42537473805158	4.244127326560783e-06	0.0008053231602149
BRD-K26501486-001-02-9	SR-1078	233	247	-0.5485696931569009	-0.2464978688879352	-0.3020718242689656	-0.3960073772120689	1.8982020668876992e-05	0.0032016341528172
BRD-K00003420-001-01-9	GDC-0077	233	247	-0.5255457711823872	-0.2716223096911785	-0.2539234614912087	-0.3700971435924104	6.082892925383602e-05	0.0085498500929488
BRD-K62289640-003-05-9	lylamine	234	247	-0.6711785564911573	-0.3353717839536727	-0.3358067725374846	-0.3714330745949833	6.195543545615143e-05	0.0085498500929488
BRD-K00004966-001-01-9	amenamevir	232	248	-0.176702832102613	-0.0198610821404615	-0.1568417499621515	-0.3240505726196535	0.0004623041577527	0.0584814759557211
BRD-K00003107-001-01-9	LXH254	232	248	-1.6886811612222703	-1.3106771312043046	-0.3780040300179657	-0.319018392088458	0.0005452227216999	0.0635478490457222
BRD-K53903639-001-01-3	ISX-9	233	247	0.0926424380478444	-0.0606807572595447	0.1533231953073892	0.3163545294773465	0.0005860802942293	0.0635478490457222
BRD-K30233223-001-04-9	A-485	234	247	-1.2229837109786357	-0.8469836525354628	-0.3760000584431726	-0.3056766877364444	0.000894524779529	0.0905259076883379
BRD-K71879491-001-51-5	tretinoin	233	247	-0.5228032714306209	-0.3309514082337814	-0.1918518631968395	-0.3026781652433515	0.0010173856038099	0.0965244591614717
BRD-K00004722-001-01-9	LY3295668	233	247	-1.9727991429697955	-2.349074975315821	0.3762758323460253	0.2820749355716047	0.0020994456766381	0.1874681492433315
BRD-K00091282-001-01-9	Fosdagrocorat	229	241	0.019098985951738	0.1335584650643916	-0.1144594791126535	-0.2766961937226715	0.0028931990190995	0.2379749656445694
BRD-K40581315-034-02-9	butabindide	233	247	0.0380019813215859	0.1651591991900111	-0.1271572178684251	-0.2737482905325921	0.0029878603670269	0.2379749656445694
BRD-K00003307-001-01-9	COH29	233	247	-1.2056411222402237	-1.5494949192301943	0.3438537969899709	0.2701102498279986	0.003280508862063	0.2379749656445694
BRD-K01826330-001-01-9	etifoxine	234	247	-0.2458480364280075	-0.1388589396058516	-0.1069890968221559	-0.2699004914167309	0.0032921437935019	0.2379749656445694
BRD-K00104122-001-01-9	MRTX1133	229	241	-0.4920457223459063	-0.3167251980780205	-0.1753205242678858	-0.267905357252448	0.0040139660801343	0.276963659529267
BRD-K00005335-001-01-9	CycLuc1	232	248	-0.40436994300381	-0.2306579531656793	-0.1737119898381306	-0.2637334122876562	0.0042200888537871	0.2785258643499488
BRD-K00004752-001-01-9	INX-08189	234	247	-0.6662402588951242	-0.3246491952665643	-0.3415910636285598	-0.2617062811009869	0.0044380144142224	0.2794515944384778
BRD-A18598741-001-02-9	4BP-TQS	234	247	-0.1673730988564778	-0.0469728711595328	-0.120400227696945	-0.2592154238350889	0.0047368724226869	0.2794515944384778
BRD-K00004604-001-01-9	PRLX-93936	233	247	-5.244898889089687	-4.413764884938709	-0.8311340041509778	-0.2587303730638437	0.0047863909455865	0.2794515944384778
BRD-K00003367-001-01-9	uki-1	232	248	-0.2026047192621423	-0.0947361665516055	-0.1078685527105367	-0.2509441345554493	0.0063489628952172	0.3458716483820143
BRD-K00091122-001-01-9	Belvarafenib	229	241	-1.850021501705457	-1.5871558928298335	-0.2628656088756238	-0.2536624834439153	0.0063797141994047	0.3458716483820143
BRD-K00004681-001-01-9	5-octanoylsalicylic-acid	232	248	-0.0876198029288124	0.0141695664457365	-0.1017893693745489	-0.2427687798957819	0.0081611148615152	0.3889232564521746
BRD-A41387824-001-06-0	beta-hydroxybutyrate	233	247	-0.1026974539734794	0.0198513265916769	-0.1225487805651563	-0.2424924790616193	0.0083514878837249	0.3889232564521746
BRD-K94848716-001-12-9	carbarsone	234	247	0.1469739148007185	0.0031783736799948	0.1437955411207237	0.2412691096083724	0.0084488339317394	0.3889232564521746
BRD-K71487808-001-02-8	CH55	234	247	-0.3184041902744852	-0.1287281566933638	-0.1896760335811214	-0.241715484428278	0.0086699413829815	0.3889232564521746
BRD-K00004691-001-01-9	megestrol	232	248	-0.1536841766616442	-0.0505509137638582	-0.1031332628977859	-0.2406554447841657	0.0087591124948043	0.3889232564521746
BRD-K00003517-001-01-9	4-(aminomethyl)benzoic-acid	234	247	-0.0592544861808086	0.0420814772503173	-0.101335963431126	-0.239603653931595	0.0090301957291756	0.3889232564521746
BRD-K01129913-001-01-5	walrycin-B	233	246	-1.9849199948545264	-1.6228578578551955	-0.3620621369993309	-0.2392316209844605	0.0091784711458747	0.3889232564521746
BRD-K00003137-001-01-9	lotamilast	233	247	-0.1566200960466144	-0.2791479450010638	0.1225278489544493	0.2391955466871592	0.0092297078245482	0.3889232564521746
BRD-K00005242-001-01-9	TEN-010	232	248	-1.6530889857401612	-1.3313982924272074	-0.3216906933129537	-0.2387069662031541	0.0094796841164232	0.3889232564521746
