lineage	n	events	HR	p	concordance
skin cutaneous melanoma	457	215	0.7764037678165963	3.836211297654954e-07	0.6258683896056549
uveal melanoma	80	23	1.6219705303924452	0.0004240915628777	0.6893491124260355
brain lower grade glioma	537	142	1.1896817240468716	0.0018294944278971	0.6295029994094427
kidney papillary cell carcinoma	320	51	1.314982634349297	0.0020564949541049	0.6609993060374739
pancreatic adenocarcinoma	182	95	1.1845918771102248	0.0050364117143926	0.5560638406018095
sarcoma	265	99	0.8330778483249618	0.0143470274058841	0.5931911088400613
lung squamous cell carcinoma	548	244	1.1217823295435152	0.0146180953657965	0.5399752113303717
kidney clear cell carcinoma	604	202	1.1635667652058617	0.014901871834783	0.5405947916116423
mesothelioma	85	73	1.207641712331544	0.020821517248742	0.5962996663633606
lung adenocarcinoma	563	208	1.109754777947959	0.0466851777291168	0.5405081835509837
thyroid carcinoma	571	20	0.8009009015856182	0.0810439186362152	0.5641025641025641
acute myeloid leukemia	149	92	1.186709845304171	0.0846855419058042	0.5377574370709383
head & neck squamous cell carcinoma	565	253	0.9206027530509148	0.1374105099535745	0.5186712352633719
glioblastoma multiforme	172	139	1.1351179753474523	0.1622683216043997	0.5135393160909564
liver hepatocellular carcinoma	420	164	1.0801023610415832	0.1826178361692131	0.520311659020427
esophageal carcinoma	196	82	1.1385611983981423	0.2276947885757845	0.5440590578861026
adrenocortical cancer	79	28	1.1320787219863215	0.2470234213817969	0.4663923182441701
bladder urothelial carcinoma	425	189	1.0495026548978827	0.2484240541527144	0.541554452112439
breast invasive carcinoma	1201	198	0.9682213519576855	0.4553274118542643	0.477708845865868
uterine corpus endometrioid carcinoma	553	91	1.0531483375948505	0.5607939042795091	0.5481371690359091
cholangiocarcinoma	45	23	0.9404507224076386	0.7010045034479733	0.5026269702276708
prostate adenocarcinoma	550	10	1.0946403093552468	0.7248352564525355	0.4682723483094025
cervical & endocervical cancer	296	73	0.969549651699265	0.7838501518397559	0.5438868770477668
uterine carcinosarcoma	56	35	0.962663945945664	0.8328625695962807	0.5243147656940761
colon adenocarcinoma	473	109	1.0122721514497437	0.8665947236994431	0.4681830134104654
stomach adenocarcinoma	422	165	0.9919931387486076	0.8990762080821786	0.483050038197097
ovarian serous cystadenocarcinoma	310	185	1.0050089386828378	0.9381998020249676	0.5057698771333607
rectum adenocarcinoma	164	27	1.010602671429881	0.9539223908223016	0.5267175572519084
